mean_phonon,n_fock,taylor_order,eta,full_infidelity,linear_infidelity,thermal_truncation_tail,trace_error,minimum_eigenvalue
0.0,120.0,5.0,0.00188,0.000346203900936648,0.0,0.0,1.1102230246251565e-16,-1.2316472821092041e-17
0.1,120.0,5.0,0.00188,0.0003962407969277937,0.0,1.0786431281765615e-125,0.0,1.2229398086492967e-17
1.0,120.0,5.0,0.00188,0.0010459787960528377,0.0,7.52316384526264e-37,2.220446049250313e-16,-4.702474137806999e-17
5.0,120.0,5.0,0.00188,0.008188959767354564,8.248494887119762e-09,3.149564264899444e-10,2.220446049250313e-16,8.663714195774326e-10
10.0,120.0,5.0,0.00188,0.02608124012939328,3.406910741110547e-05,1.0786431281765536e-05,2.220446049250313e-16,7.425058192599837e-06
20.0,120.0,5.0,0.00188,0.08052700266907409,0.0025545495257401907,0.0028660523028114344,0.0,0.0006928237186947723
