number_of_ions,participation_sum,N_times_sum
2.0,0.33333333333333326,0.6666666666666665
3.0,0.19923371647509608,0.5977011494252882
5.0,0.1110206525869439,0.5551032629347195
10.0,0.053908255432239545,0.5390825543223955
20.0,0.027592292089125312,0.5518458417825063
40.0,0.014628128447840397,0.5851251379136159
