t_over_T,max_displacement,concurrence,population_sum
0.0,0.0,0.0,1.0
0.125,0.541196100146197,0.0,1.0
0.25,1.0,0.0,1.0
0.375,1.3065629648763766,0.0,1.0
0.5,1.4142135623730951,0.05180930644612347,1.0
0.625,1.3065629648763768,0.20792729638290097,1.0
0.75,1.0000000000000002,0.4632316844494705,1.0
0.875,0.5411961001461971,0.8040558905515934,1.0
1.0,1.7319121124709868e-16,0.9999999999999997,1.0
1.125,0.5411961001461969,0.804055890551601,1.0
1.25,1.0,0.46323168444947094,1.0
1.375,1.3065629648763764,0.20792729638290214,1.0
1.5,1.4142135623730951,0.05180930644612314,1.0
1.625,1.3065629648763766,0.0,1.0
1.75,1.0000000000000002,0.0,1.0
1.875,0.5411961001461978,0.0,1.0
2.0,3.4638242249419736e-16,3.5768028105923587e-13,1.0
