t_over_T,survival,concurrence_proxy
0.0,1.0,0.0
0.25,0.9997916883665486,0.0
0.5,0.9995834201268338,0.0
0.75,0.9993751952718163,0.0
1.0,0.9991670137924583,0.999167013792458
1.25,0.9989588756797245,0.0
1.5,0.9987507809245809,0.0
1.75,0.9985427295179956,0.0
2.0,0.9983347214509387,3.570846437597657e-13
