regime,mean_phonon,rydberg_n,decay,anharmonic_upper,technical_lower,technical_upper,fidelity_lower,fidelity_upper,provenance
doppler_n60,20.0,60,0.013,0.077,0.001,0.002,0.908,0.909,independent_arithmetic_over_paper_table_inputs
eit_n60,1.0,60,0.013,0.001,0.001,0.002,0.984,0.985,independent_arithmetic_over_paper_table_inputs
gsc_n60,0.1,60,0.013,0.0001,0.001,0.002,0.9849,0.9859,independent_arithmetic_over_paper_table_inputs
eit_n80,1.0,80,0.0052,0.00026,0.001,0.001,0.99354,0.99354,independent_arithmetic_over_paper_table_inputs
gsc_n80,0.1,80,0.0052,3e-05,0.001,0.001,0.99377,0.99377,independent_arithmetic_over_paper_table_inputs
