component,upper_infidelity,provenance
rydberg_decay,0.024385287749642996,independent_formula
thermal_position,0.0006,paper_bound
trap_frequency_mismatch,1e-05,paper_bound
motional_heating,0.0005,paper_bound
magnus_intensity_noise,0.0002,paper_bound
photon_scattering,0.0001,paper_upper_bound
micromotion,0.0001,paper_bound
ac_stark_crosstalk,1e-05,paper_upper_bound
upper_bound_sum,0.025905287749642996,independent_arithmetic_over_mixed_inputs
