physics_phase,caption_phase,gamma,p,L,ell,chord_length,parameter_status,correlation_positive,correlation_positive_sem
algebraic,CFT,0.3,1.25,64,6.0,5.913630884977044,paper_subset_reconstructed_numerics,0.0046866828828123035,0.00020500092929785646
algebraic,CFT,0.3,1.25,64,7.0,6.863063736944095,paper_subset_reconstructed_numerics,0.0042046839080518315,7.164442169684611e-05
algebraic,CFT,0.3,1.25,64,9.0,8.710080840133957,paper_subset_reconstructed_numerics,0.0035672624318399044,0.00018351117168862702
algebraic,CFT,0.3,1.25,64,12.0,11.317983848932585,paper_subset_reconstructed_numerics,0.002930833702273423,0.00011463477641572407
algebraic,CFT,0.3,1.25,64,15.0,13.68088668691583,paper_subset_reconstructed_numerics,0.002338894161685438,3.733182358578594e-05
algebraic,CFT,0.3,1.25,64,16.0,14.405061058513697,paper_subset_reconstructed_numerics,0.002319300047365161,5.627682620770211e-05
algebraic,CFT,0.3,1.25,64,19.0,16.362809467364322,paper_subset_reconstructed_numerics,0.002087136238244392,8.694875098075238e-05
algebraic,CFT,0.3,1.25,64,20.0,16.93855985006744,paper_subset_reconstructed_numerics,0.0020790463424481954,3.687639595827907e-05
algebraic,CFT,0.3,1.25,64,21.0,17.473503758449127,paper_subset_reconstructed_numerics,0.0019169684194659479,6.139370330157705e-05
algebraic,CFT,0.3,1.25,64,24.0,18.821119285836893,paper_subset_reconstructed_numerics,0.0018641502985746895,0.00012606531810003673
algebraic,CFT,0.3,1.25,64,25.0,19.18097819042758,paper_subset_reconstructed_numerics,0.0019845782107285486,5.303846675748892e-05
algebraic,CFT,0.3,1.25,64,27.0,19.76131441914081,paper_subset_reconstructed_numerics,0.0018789531266370416,6.071725045474267e-05
algebraic,CFT,0.3,1.25,64,29.0,20.1513383873644,paper_subset_reconstructed_numerics,0.001882419057190336,3.9027482270994804e-05
algebraic,CFT,0.3,1.25,64,32.0,20.371832715762604,paper_subset_reconstructed_numerics,0.002008647711676199,0.00011198560206237976
algebraic,CFT,0.3,1.25,80,1.0,0.9997429988692578,paper_subset_reconstructed_numerics,0.012859831081530758,0.0003135616359299541
algebraic,CFT,0.3,1.25,80,2.0,1.9979444664970771,paper_subset_reconstructed_numerics,0.009425266419268438,0.00010415653025001021
algebraic,CFT,0.3,1.25,80,3.0,2.9930652485714617,paper_subset_reconstructed_numerics,0.007499406393356653,0.00010736239721935797
algebraic,CFT,0.3,1.25,80,4.0,3.983570940974246,paper_subset_reconstructed_numerics,0.006001341228564652,7.450219339253163e-05
algebraic,CFT,0.3,1.25,80,5.0,4.967934255721029,paper_subset_reconstructed_numerics,0.0049994476261677875,5.624891821844637e-05
algebraic,CFT,0.3,1.25,80,6.0,5.944637375928548,paper_subset_reconstructed_numerics,0.004559697927432101,8.062365540097422e-05
algebraic,CFT,0.3,1.25,80,8.0,7.869053144667728,paper_subset_reconstructed_numerics,0.003581187992701644,7.300831631189092e-05
algebraic,CFT,0.3,1.25,80,11.0,10.661082672421951,paper_subset_reconstructed_numerics,0.002730454335880189,7.585182983366915e-05
algebraic,CFT,0.3,1.25,80,14.0,13.305316693274213,paper_subset_reconstructed_numerics,0.00229105328333657,4.839316123940144e-05
algebraic,CFT,0.3,1.25,80,18.0,16.53805874770126,paper_subset_reconstructed_numerics,0.0018821533546870826,2.7749390094785834e-05
algebraic,CFT,0.3,1.25,80,20.0,18.006326323142122,paper_subset_reconstructed_numerics,0.001768370662024857,6.486982248160048e-05
algebraic,CFT,0.3,1.25,80,23.0,19.9979314309483,paper_subset_reconstructed_numerics,0.001543126686621823,4.9176920369984115e-05
algebraic,CFT,0.3,1.25,80,24.0,20.601448592019356,paper_subset_reconstructed_numerics,0.0015669268429445466,5.173828223690405e-05
algebraic,CFT,0.3,1.25,80,27.0,22.21792837657231,paper_subset_reconstructed_numerics,0.0014423975247265114,4.4398119900522315e-05
algebraic,CFT,0.3,1.25,80,30.0,23.526399107296115,paper_subset_reconstructed_numerics,0.0014375464495152888,5.774398471542968e-05
algebraic,CFT,0.3,1.25,80,31.0,23.890846188488357,paper_subset_reconstructed_numerics,0.001382966275543318,4.529539376671522e-05
algebraic,CFT,0.3,1.25,80,33.0,24.508721341804307,paper_subset_reconstructed_numerics,0.0013526003376927585,5.160717491738923e-05
algebraic,CFT,0.3,1.25,80,37.0,25.28828060048282,paper_subset_reconstructed_numerics,0.0013749248064955089,2.988678173002127e-05
algebraic,CFT,0.3,1.25,80,40.0,25.464790894703256,paper_subset_reconstructed_numerics,0.001375536717792219,9.281646316116063e-05
algebraic,CFT,0.3,1.25,96,1.0,0.9998215227876079,paper_subset_reconstructed_numerics,0.013136383273426644,0.00041902287840104305
algebraic,CFT,0.3,1.25,96,2.0,1.9985724116458168,paper_subset_reconstructed_numerics,0.009110759368711245,0.00022031522267396256
algebraic,CFT,0.3,1.25,96,3.0,2.995183179106855,paper_subset_reconstructed_numerics,0.007003218727534556,0.00027577435420972585
algebraic,CFT,0.3,1.25,96,4.0,3.9885866293985472,paper_subset_reconstructed_numerics,0.005857213739376745,0.00020765829509942964
algebraic,CFT,0.3,1.25,96,5.0,4.977719001224279,paper_subset_reconstructed_numerics,0.004984654882849461,0.00014778558044575903
algebraic,CFT,0.3,1.25,96,7.0,6.938939466385137,paper_subset_reconstructed_numerics,0.0037577614717332736,6.913388455033538e-05
