gamma,p,inverse_p,fitted_b,direct_b,theory_b,fit_relative_rms,parameter_status
0.3,1.15,0.8695652173913044,0.9999999999999554,0.7548267470296492,0.3500000000000001,0.01425341630836919,reduced_scale
0.3,1.25,0.8,0.43987586282301494,0.7656558798992674,0.25,0.004655006705243417,reduced_scale
0.3,1.4,0.7142857142857143,0.8610584577938339,0.7054378928763927,0.10000000000000009,0.00820121099030264,reduced_scale
0.3,1.6,0.625,0.9999999997289288,0.6766815487930595,,0.006164847481759803,reduced_scale
0.3,2.0,0.5,0.32567794751296697,0.67080202969283,,0.011828949500860228,reduced_scale
0.3,3.0,0.3333333333333333,0.9999999995792008,0.5734823063840269,,0.014764790622440812,reduced_scale
0.3,5.0,0.2,0.0003847018972084835,0.6096160681711091,,0.02610683956786365,reduced_scale
1.0,1.15,0.8695652173913044,0.7858593650126098,0.666291619286892,0.3500000000000001,0.006899595642079372,reduced_scale
1.0,1.25,0.8,0.9999863023332948,0.6153174890186396,0.25,0.007409318186532371,reduced_scale
1.0,1.4,0.7142857142857143,0.9999999999999999,0.537946527684623,0.10000000000000009,0.010308750592152098,reduced_scale
1.0,1.6,0.625,0.9999999999995991,0.5089945228636505,,0.021317990421372866,reduced_scale
1.0,2.0,0.5,2.893521229730447e-05,0.44146036467770966,,0.05784868533072397,reduced_scale
1.0,3.0,0.3333333333333333,0.0004265207096658161,0.4608488190775537,,0.03853848688354336,reduced_scale
1.0,5.0,0.2,0.003577573245678798,0.39089000957555303,,0.024549357424313575,reduced_scale
1.5,1.15,0.8695652173913044,0.9999999999999999,0.5942161970655159,0.3500000000000001,0.0042410527742982014,reduced_scale
1.5,1.25,0.8,0.999999996404791,0.5286764937796113,0.25,0.01274863590764976,reduced_scale
1.5,1.4,0.7142857142857143,0.4416497848012764,0.5300505156938945,0.10000000000000009,0.0201370399669684,reduced_scale
1.5,1.6,0.625,3.1209886826517094e-07,0.44039446349878536,,0.030555373726654594,reduced_scale
1.5,2.0,0.5,0.9999999999999704,0.42531676955975395,,0.03576808023440242,reduced_scale
1.5,3.0,0.3333333333333333,9.422493898424578e-05,0.2619663764969758,,0.04426684829318123,reduced_scale
1.5,5.0,0.2,0.9999999999998537,0.20211524526634278,,0.03211568507408437,reduced_scale
