gamma,p,inverse_p,fitted_a,direct_a,theory_a,fit_relative_rms,parameter_status
0.3,1.15,0.8695652173913044,1.3210228171283938,1.321022791021054,1.65,0.004473850202564197,reduced_scale
0.3,1.25,0.8,3.5531177865058488,1.3006364695345087,1.75,0.0026429471443665357,reduced_scale
0.3,1.4,0.7142857142857143,1.997091403506685,1.4300148201315777,1.9,0.0029019340460124704,reduced_scale
0.3,1.6,0.625,1.7096300858125788,1.5312663078774917,,0.00651426222181538,reduced_scale
0.3,2.0,0.5,2.658937792967832,1.5655205213467023,,0.005059913191142336,reduced_scale
0.3,3.0,0.3333333333333333,2.3261841171354427,1.7302065099518322,,0.008201372614105796,reduced_scale
0.3,5.0,0.2,2.5796979974125547,1.6796208219463795,,0.013713241808526417,reduced_scale
1.0,1.15,0.8695652173913044,1.4592348741454297,1.459235311999173,1.65,0.0050265946989318366,reduced_scale
1.0,1.25,0.8,1.6710434573635167,1.5299462886792277,1.75,0.005994713068114421,reduced_scale
1.0,1.4,0.7142857142857143,2.8173867349844413,1.7239316989352644,1.9,0.006870057006443198,reduced_scale
1.0,1.6,0.625,1.845940008052839,1.8459399864347676,,0.003547582852023993,reduced_scale
1.0,2.0,0.5,2.3770210347824716,2.014670831010761,,0.004294431206995796,reduced_scale
1.0,3.0,0.3333333333333333,2.547643225564149,1.9281823630400803,,0.018361976259657336,reduced_scale
1.0,5.0,0.2,2.2896765685329834,2.135516992508768,,0.009070821127921899,reduced_scale
1.5,1.15,0.8695652173913044,1.6858957977915792,1.5429048757453654,1.65,0.004395842091699902,reduced_scale
1.5,1.25,0.8,1.6573977527380634,1.6573978153432647,1.75,0.008619810846085887,reduced_scale
1.5,1.4,0.7142857142857143,2.190614704122828,1.6649437037422026,1.9,0.004853843298748146,reduced_scale
1.5,1.6,0.625,2.6351288045944106,1.834523928631861,,0.0036782757643794074,reduced_scale
1.5,2.0,0.5,2.7680717434635023,1.8540016136134991,,0.006019533314108293,reduced_scale
1.5,3.0,0.3333333333333333,1.9696349685893932,1.9696350762116133,,0.013900676470624953,reduced_scale
1.5,5.0,0.2,2.2887265253464313,2.2887269668919736,,0.0254670355335313,reduced_scale
