L,p,gamma,ell,chord_length,entropy,entropy_sem,correlation_positive,correlation_positive_sem,correlation_connected,trajectories,samples_per_trajectory,max_invariant_residual,stationary_relative_drift
24,1.15,0.3,1.0,0.9971466573496368,0.6460250271228016,0.0071532238318689784,0.016411274893829146,0.0005154579718346354,-0.016411274893829146,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,2.0,1.9772318589307383,1.1711181607984844,0.006537557069820974,0.012884712856466644,0.0004962146093905058,-0.012884712856466644,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,3.0,2.923486075213298,1.6552207443320268,0.015137955709211453,0.011280337251707791,0.0005844976128618405,-0.011280337251707791,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,4.0,3.8197186342054876,2.096118890829766,0.031227608173585254,0.00979816663388237,0.0005281487866036439,-0.00979816663388237,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,5.0,4.650594748340343,2.482142652656604,0.03459848000918913,0.009633034878685883,0.0005325671495281224,-0.009633034878685883,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,6.0,5.401897896942636,2.7760947269013947,0.027963281407964335,0.007707154915469404,0.00036623303329055476,-0.007707154915469404,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,7.0,6.060773074839197,3.0568112476262987,0.02138218177172647,0.007243566869084957,0.0002290915984702872,-0.007243566869084957,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,8.0,6.615946745061504,3.2859701032277027,0.023053852331523357,0.007019543895883578,0.0001542721057764307,-0.007019543895883578,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,9.0,7.057919732188834,3.456485207346959,0.026791684497118124,0.007863598636249705,0.0001572117725979475,-0.007863598636249705,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,10.0,7.379129755873375,3.574372275226188,0.034443792207969705,0.006530501200492762,0.00015633784806142652,-0.006530501200492762,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,11.0,7.574080823553641,3.6343206122338305,0.03387556508397653,0.0074461433452600876,0.0003634912340855599,-0.0074461433452600876,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,0.3,12.0,7.639437268410976,3.6406489385108927,0.029705435287795623,0.007159401276752343,0.0004510255760007869,-0.007159401276752343,4,5,3.552713678800501e-15,0.1937858808884596
24,1.15,1.0,1.0,0.9971466573496368,0.5239507452790451,0.013616465035691947,0.01900816914561083,0.0004956222062457147,-0.01900816914561083,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,2.0,1.9772318589307383,0.9652374753720596,0.019049923109195767,0.013444561951826126,0.00037679305695002347,-0.013444561951826126,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,3.0,2.923486075213298,1.359393525055729,0.034547219525461616,0.009974037881545415,0.00045256676408025746,-0.009974037881545415,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,4.0,3.8197186342054876,1.685818854638544,0.0340824050807492,0.00769030597844724,0.0005973950418445448,-0.00769030597844724,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,5.0,4.650594748340343,1.9241823354947698,0.034522053314632616,0.006710821686667784,0.00045939580571975586,-0.006710821686667784,4,5,3.552713678800501e-15,0.1295764433224193
