gamma,L,p,inverse_p,c_eff,fit_relative_rms,parameter_status
0.3,24,1.15,0.8695652173913044,7.621380416928956,0.0021242210181535103,reduced_scale
0.3,24,1.25,0.8,6.84452629811266,0.004951432655174934,reduced_scale
0.3,24,1.4,0.7142857142857143,7.756894285813568,0.0029174331004882177,reduced_scale
0.3,24,1.6,0.625,8.152286316836696,0.008795511552309555,reduced_scale
0.3,24,2.0,0.5,7.069912690573272,0.00769963889636921,reduced_scale
0.3,24,3.0,0.3333333333333333,6.432816136841854,0.0021636155012854444,reduced_scale
0.3,24,5.0,0.2,6.1586247543364285,0.0031718214651161834,reduced_scale
0.3,32,1.15,0.8695652173913044,9.679229568951712,0.0031238751776583415,reduced_scale
0.3,32,1.25,0.8,10.105369151560515,0.00936556913236478,reduced_scale
0.3,32,1.4,0.7142857142857143,9.786073124755987,0.004219460973635805,reduced_scale
0.3,32,1.6,0.625,8.909474567381501,0.008082777628200609,reduced_scale
0.3,32,2.0,0.5,8.643377558162888,0.0030775652081942288,reduced_scale
0.3,32,3.0,0.3333333333333333,7.633058744273265,0.004396654768492773,reduced_scale
0.3,32,5.0,0.2,6.555700846105853,0.003434085973359559,reduced_scale
0.3,48,1.15,0.8695652173913044,13.744717259539511,0.0053327436783925635,reduced_scale
0.3,48,1.25,0.8,12.761899980396699,0.003913936229371521,reduced_scale
0.3,48,1.4,0.7142857142857143,11.87496757223091,0.0017603993682582366,reduced_scale
0.3,48,1.6,0.625,11.965756661288065,0.0027167188926636473,reduced_scale
0.3,48,2.0,0.5,9.54080191688571,0.003987059473352394,reduced_scale
0.3,48,3.0,0.3333333333333333,8.95411935351511,0.0060608825192294356,reduced_scale
0.3,48,5.0,0.2,9.616487259787904,0.003963014729312118,reduced_scale
0.3,64,1.15,0.8695652173913044,14.52580669732624,0.0034158626308264032,reduced_scale
0.3,64,1.25,0.8,14.12954919167708,0.004702745158189613,reduced_scale
0.3,64,1.4,0.7142857142857143,13.208407020965646,0.0019071133498372195,reduced_scale
0.3,64,1.6,0.625,12.975633108906818,0.004019291935254222,reduced_scale
