L,gamma,p,ell,entropy,correlation_positive,theory_entropy,theory_rescaled_correlation,theory_a,theory_b,parameter_status
96,0.3,1.25,1.0,0.6372158580091449,0.013136383273426644,3.7078159297699314,6.880186761360298,1.75,0.25,reduced_scale
96,0.3,1.25,2.0,1.2190663292596624,0.009110759368711245,4.409361084802832,8.181967049157194,1.75,0.25,reduced_scale
96,0.3,1.25,3.0,1.7339749687726793,0.007003218727534556,4.87976018998149,9.054835000886058,1.75,0.25,reduced_scale
96,0.3,1.25,4.0,2.2090135670887587,0.005857213739376745,5.243643574663644,9.730053429575555,1.75,0.25,reduced_scale
96,0.3,1.25,5.0,2.6564798114942154,0.004984654882849461,5.544478031574093,10.288278888174498,1.75,0.25,reduced_scale
96,0.3,1.25,7.0,3.511645945173776,0.0037577614717332736,6.031046486453453,11.191150526132056,1.75,0.25,reduced_scale
96,0.3,1.25,9.0,4.269367117320348,0.0031392631039994703,6.422125575474757,11.9168330362388,1.75,0.25,reduced_scale
96,0.3,1.25,12.0,5.291273817792025,0.0024157009236453987,6.901023041800134,12.80547046330366,1.75,0.25,reduced_scale
96,0.3,1.25,16.0,6.502247113770825,0.0019223081116183413,7.415631859539863,13.760373522720595,1.75,0.25,reduced_scale
96,0.3,1.25,21.0,7.655667118415172,0.001478015811036882,7.937303551729827,14.728382382482014,1.75,0.25,reduced_scale
96,0.3,1.25,24.0,8.20674570210644,0.001321905953638707,8.20674570210644,15.228356585917904,1.75,0.25,reduced_scale
96,0.3,1.25,28.0,8.81730794286956,0.0011577499004892045,8.529187736445076,15.826676852614751,1.75,0.25,reduced_scale
96,0.3,1.25,32.0,9.313665982117254,0.001126262170070891,8.818722169605664,16.363934098314388,1.75,0.25,reduced_scale
96,0.3,1.25,36.0,9.706847985898756,0.0010691091792731614,9.082257088099519,16.852946900384662,1.75,0.25,reduced_scale
96,0.3,1.25,40.0,9.983430493156582,0.0010785650542260313,9.324663402407253,17.302753672392814,1.75,0.25,reduced_scale
96,0.3,1.25,44.0,10.178302787145281,0.0010402323287054206,9.549515436510006,17.719986894753635,1.75,0.25,reduced_scale
96,0.3,1.25,48.0,10.199601905907379,0.001028777390965705,9.75952037996298,18.109670001772116,1.75,0.25,reduced_scale
