n_spins,rate_tau0_over_tauq,kink_count,fidelity_exact,kzm_fit_kink_count,kzm_fit_exponent,lzf_fit_coefficient,lzf_kink_estimate
50,0.001,1.2846725655435431e-05,0.9999878665688493,0.09770185232270272,0.6696284543686637,59.0,7.504557915094523e-06
50,0.0015,0.000492076316707446,0.999509347215998,0.12817948288787073,0.6696284543686637,59.0,0.00038330993484736453
50,0.0025,0.010319545026690413,0.9896837817281234,0.1804574227122511,0.6696284543686637,59.0,0.008915178548439595
50,0.004,0.057359979541455,0.9426639906817557,0.24720616596496622,0.6696284543686637,59.0,0.0523397059484324
50,0.006,0.149292832746923,0.8512427989293971,0.3243209598055855,0.6696284543686637,59.0,0.1399224880243094
50,0.01,0.32965968849353094,0.6810112506651271,0.4565951057025033,0.6696284543686637,59.0,0.3072787386011313
50,0.015,0.5165964468579306,0.5322633021735619,0.5990277885906569,0.6696284543686637,59.0,0.4553601354304513
50,0.025,0.8147867502498845,0.3598515691447902,0.8433409811510347,0.6696284543686637,59.0,0.6237535129177522
50,0.04,1.169333120553381,0.22744201270456507,1.155281325744694,0.6696284543686637,59.0,0.7445315874659094
50,0.06,1.5493903475228048,0.13903588456822275,1.5156658692084886,0.6696284543686637,59.0,0.8214644091505334
50,0.09,2.018078865223638,0.0763346034514034,1.9884706658810758,0.6696284543686637,59.0,0.8771203111641686
50,0.13,2.5810346923153777,0.037491890483900135,2.543662088536269,0.6696284543686637,59.0,0.9132284316070813
50,0.18,3.1737206882619446,0.01792755594238503,3.1629872357988815,0.6696284543686637,59.0,0.9365470149245945
50,0.25,3.8155609854742285,0.00790795670434107,3.941228904852942,0.6696284543686637,59.0,0.953896599191329
50,0.4,5.4411537750403385,0.001279343507421956,5.39903580642712,0.6696284543686637,59.0,0.9709308776411942
50,0.7,8.396818378610307,5.174193579232057e-05,7.8534665918844295,0.6696284543686637,59.0,0.9832841437652707
50,1.2,11.46564267707423,1.3991543331384214e-06,11.267048818792826,0.6696284543686637,59.0,0.990214855806249
50,2.0,14.080071061779698,4.7888154752538e-08,15.862309205842994,0.6696284543686637,59.0,0.9941173708205961
50,4.0,16.908706978803167,9.744446504533182e-10,25.231592504355877,0.6696284543686637,59.0,0.9970543469744245
60,0.001,0.00032088850202915964,0.9996796797326325,0.1406410101854539,0.6373921268877865,59.0,0.0002761836694796793
60,0.0015,0.004668917415398377,0.995331565761102,0.18211728167079283,0.6373921268877865,59.0,0.0042409712695561375
