curve_id,subset,particle_count,parity,field_j_over_w,energy_over_w
1,0,1,inaccessible_odd,0.6000000000000001,4.679882881159348e-05
1,0,1,inaccessible_odd,0.625,0.00010081264529179485
1,0,1,inaccessible_odd,0.65,0.00020933858093209363
1,0,1,inaccessible_odd,0.675,0.00041976313823543907
1,0,1,inaccessible_odd,0.7000000000000001,0.0008138861478672598
1,0,1,inaccessible_odd,0.7250000000000001,0.001527291752196241
1,0,1,inaccessible_odd,0.75,0.0027750389684761145
1,0,1,inaccessible_odd,0.775,0.00488162878514135
1,0,1,inaccessible_odd,0.8,0.00830828968690209
1,0,1,inaccessible_odd,0.8250000000000001,0.013662943737521827
1,0,1,inaccessible_odd,0.8500000000000001,0.021670641211325198
1,0,1,inaccessible_odd,0.875,0.03308419030380133
1,0,1,inaccessible_odd,0.9,0.04853945247983713
1,0,1,inaccessible_odd,0.925,0.06840490113322073
1,0,1,inaccessible_odd,0.9500000000000001,0.09270164024648528
1,0,1,inaccessible_odd,0.9750000000000001,0.12113549921367135
1,0,1,inaccessible_odd,1.0,0.15321093476013978
1,0,1,inaccessible_odd,1.0250000000000001,0.18835887698966738
1,0,1,inaccessible_odd,1.05,0.2260300357874554
1,0,1,inaccessible_odd,1.075,0.26574299638923665
1,0,1,inaccessible_odd,1.1,0.3070986149210521
1,0,1,inaccessible_odd,1.125,0.3497760274092796
1,0,1,inaccessible_odd,1.1500000000000001,0.393521285249093
1,0,1,inaccessible_odd,1.175,0.4381346026691548
1,0,1,inaccessible_odd,1.2000000000000002,0.4834588140686918
1,0,1,inaccessible_odd,1.225,0.529369841167233
1,0,1,inaccessible_odd,1.25,0.5757691683016052
1,0,1,inaccessible_odd,1.2750000000000001,0.6225780364778699
1,0,1,inaccessible_odd,1.3,0.6697330101631034
1,0,1,inaccessible_odd,1.3250000000000002,0.7171826033279737
1,0,1,inaccessible_odd,1.35,0.764884708972367
1,0,1,inaccessible_odd,1.375,0.8128046335887201
1,0,1,inaccessible_odd,1.4000000000000001,0.8609135862725742
1,0,1,inaccessible_odd,1.425,0.9091875101100407
1,0,1,inaccessible_odd,1.4500000000000002,0.9576061722387887
1,0,1,inaccessible_odd,1.475,1.0061524504122075
1,0,1,inaccessible_odd,1.5,1.0548117697295936
1,0,1,inaccessible_odd,1.5250000000000001,1.1035716548569712
1,0,1,inaccessible_odd,1.55,1.152421371657695
1,0,1,inaccessible_odd,1.5750000000000002,1.2013516385027931
1,0,1,inaccessible_odd,1.6,1.2503543922439704
1,0,1,inaccessible_odd,1.625,1.299422597346773
1,0,1,inaccessible_odd,1.6500000000000001,1.3485500893174065
1,0,1,inaccessible_odd,1.675,1.3977314455453234
1,0,1,inaccessible_odd,1.7000000000000002,1.4469618781928268
1,0,1,inaccessible_odd,1.725,1.4962371449155831
1,0,1,inaccessible_odd,1.75,1.54555347408332
1,0,1,inaccessible_odd,1.7750000000000001,1.5949075018543393
1,0,1,inaccessible_odd,1.8,1.6442962189894994
1,0,1,inaccessible_odd,1.8250000000000002,1.693716925707327
1,0,1,inaccessible_odd,1.85,1.7431671932090085
1,0,1,inaccessible_odd,1.875,1.792644830760501
1,0,1,inaccessible_odd,1.9000000000000001,1.8421478574245653
1,0,1,inaccessible_odd,1.925,1.8916744776995649
1,0,1,inaccessible_odd,1.9500000000000002,1.9412230604536123
1,0,1,inaccessible_odd,1.975,1.9907921206488368
1,0,1,inaccessible_odd,2.0,2.0403803034366454
2,1,1,inaccessible_odd,0.0,2.0
2,1,1,inaccessible_odd,0.025,1.9506328759144445
2,1,1,inaccessible_odd,0.05,1.9013023186172389
2,1,1,inaccessible_odd,0.07500000000000001,1.8520115596603246
2,1,1,inaccessible_odd,0.1,1.8027642188104585
2,1,1,inaccessible_odd,0.125,1.7535643634638012
2,1,1,inaccessible_odd,0.15000000000000002,1.7044165791749566
2,1,1,inaccessible_odd,0.17500000000000002,1.6553260537688321
2,1,1,inaccessible_odd,0.2,1.6062986781403006
2,1,1,inaccessible_odd,0.225,1.5573411676705962
2,1,1,inaccessible_odd,0.25,1.5084612092623673
2,1,1,inaccessible_odd,0.275,1.4596676404020257
2,1,1,inaccessible_odd,0.30000000000000004,1.410970668514345
2,1,1,inaccessible_odd,0.325,1.3623821413405748
2,1,1,inaccessible_odd,0.35000000000000003,1.3139158823707209
2,1,1,inaccessible_odd,0.375,1.265588109804415
2,1,1,inaccessible_odd,0.4,1.217417963540158
2,1,1,inaccessible_odd,0.42500000000000004,1.1694281729144962
2,1,1,inaccessible_odd,0.45,1.121645909196392
2,1,1,inaccessible_odd,0.47500000000000003,1.0741038824024518
2,1,1,inaccessible_odd,0.5,1.0268417635256277
2,1,1,inaccessible_odd,0.525,0.9799080430728613
2,1,1,inaccessible_odd,0.55,0.9333624779309976
2,1,1,inaccessible_odd,0.5750000000000001,0.8872793347659531
2,1,1,inaccessible_odd,0.6000000000000001,0.8417517133061438
2,1,1,inaccessible_odd,0.625,0.7968973291764186
2,1,1,inaccessible_odd,0.65,0.7528662489513828
2,1,1,inaccessible_odd,0.675,0.7098511765257983
2,1,1,inaccessible_odd,0.7000000000000001,0.6681009208889861
2,1,1,inaccessible_odd,0.7250000000000001,0.6279374625166038
2,1,1,inaccessible_odd,0.75,0.5897762186524366
2,1,1,inaccessible_odd,0.775,0.5541470295466717
2,1,1,inaccessible_odd,0.8,0.5217091531997838
2,1,1,inaccessible_odd,0.8250000000000001,0.4932468115994005
2,1,1,inaccessible_odd,0.8500000000000001,0.4696251733421992
2,1,1,inaccessible_odd,0.875,0.45168908845549893
2,1,1,inaccessible_odd,0.9,0.44011136826041625
2,1,1,inaccessible_odd,0.925,0.4352414780304595
2,1,1,inaccessible_odd,0.9500000000000001,0.43703064163299865
2,1,1,inaccessible_odd,0.9750000000000001,0.44507347503799455
2,1,1,inaccessible_odd,1.0,0.4587337015936027
2,1,1,inaccessible_odd,1.0250000000000001,0.4772839587757163
2,1,1,inaccessible_odd,1.05,0.5000096488938263
2,1,1,inaccessible_odd,1.075,0.5262653360242695
2,1,1,inaccessible_odd,1.1,0.5554950141486532
2,1,1,inaccessible_odd,1.125,0.5872317949239033
2,1,1,inaccessible_odd,1.1500000000000001,0.6210884629896316
2,1,1,inaccessible_odd,1.175,0.6567453586342468
2,1,1,inaccessible_odd,1.2000000000000002,0.6939386087385734
2,1,1,inaccessible_odd,1.225,0.7324498414889888
2,1,1,inaccessible_odd,1.25,0.772097628093592
2,1,1,inaccessible_odd,1.2750000000000001,0.8127305290351792
2,1,1,inaccessible_odd,1.3,0.8542215053981294
2,1,1,inaccessible_odd,1.3250000000000002,0.8964634448150286
2,1,1,inaccessible_odd,1.35,0.939365579637189
2,1,1,inaccessible_odd,1.375,0.9828506129212375
2,1,1,inaccessible_odd,1.4000000000000001,1.0268524042416431
2,1,1,inaccessible_odd,1.425,1.0713140984361122
2,1,1,inaccessible_odd,1.4500000000000002,1.1161866056026146
2,1,1,inaccessible_odd,1.475,1.1614273605943297
2,1,1,inaccessible_odd,1.5,1.2069993058157018
2,1,1,inaccessible_odd,1.5250000000000001,1.2528700532025019
2,1,1,inaccessible_odd,1.55,1.29901119063644
2,1,1,inaccessible_odd,1.5750000000000002,1.3453977053165358
2,1,1,inaccessible_odd,1.6,1.392007502267964
2,1,1,inaccessible_odd,1.625,1.438821000586898
2,1,1,inaccessible_odd,1.6500000000000001,1.4858207934818166
2,1,1,inaccessible_odd,1.675,1.5329913608959571
2,1,1,inaccessible_odd,1.7000000000000002,1.5803188256480063
2,1,1,inaccessible_odd,1.725,1.6277907457361718
2,1,1,inaccessible_odd,1.75,1.6753959368119942
2,1,1,inaccessible_odd,1.7750000000000001,1.7231243199194834
2,1,1,inaccessible_odd,1.8,1.7709667904704567
2,1,1,inaccessible_odd,1.8250000000000002,1.8189151051333683
2,1,1,inaccessible_odd,1.85,1.8669617838849226
2,1,1,inaccessible_odd,1.875,1.9151000249391918
2,1,1,inaccessible_odd,1.9000000000000001,1.9633236306486754
2,1,1,inaccessible_odd,1.925,2.011626942783169
2,1,1,inaccessible_odd,1.9500000000000002,2.060004785848003
2,1,1,inaccessible_odd,1.975,2.1084524173146524
2,1,1,inaccessible_odd,2.0,2.1569654838114714
3,2,1,inaccessible_odd,0.0,2.0
3,2,1,inaccessible_odd,0.025,1.9525145825836383
3,2,1,inaccessible_odd,0.05,1.905171388348767
3,2,1,inaccessible_odd,0.07500000000000001,1.857982435825444
3,2,1,inaccessible_odd,0.1,1.810961085885499
3,2,1,inaccessible_odd,0.125,1.7641222261487057
3,2,1,inaccessible_odd,0.15000000000000002,1.7174824849492816
3,2,1,inaccessible_odd,0.17500000000000002,1.6710604801277864
3,2,1,inaccessible_odd,0.2,1.6248771088920881
3,2,1,inaccessible_odd,0.225,1.5789558861369557
3,2,1,inaccessible_odd,0.25,1.5333233399385937
3,2,1,inaccessible_odd,0.275,1.488009474452809
3,2,1,inaccessible_odd,0.30000000000000004,1.4430483121284392
3,2,1,inaccessible_odd,0.325,1.3984785289527888
3,2,1,inaccessible_odd,0.35000000000000003,1.3543441982667939
3,2,1,inaccessible_odd,0.375,1.3106956603227977
3,2,1,inaccessible_odd,0.4,1.267590535854967
3,2,1,inaccessible_odd,0.42500000000000004,1.2250949019040631
3,2,1,inaccessible_odd,0.45,1.1832846460447093
3,2,1,inaccessible_odd,0.47500000000000003,1.1422470095524433
3,2,1,inaccessible_odd,0.5,1.1020823187572844
3,2,1,inaccessible_odd,0.525,1.0629058837813468
3,2,1,inaccessible_odd,0.55,1.0248500109172893
3,2,1,inaccessible_odd,0.5750000000000001,0.9880660240047667
3,2,1,inaccessible_odd,0.6000000000000001,0.952726116024737
3,2,1,inaccessible_odd,0.625,0.9190247511715631
3,2,1,inaccessible_odd,0.65,0.8871792118401836
3,2,1,inaccessible_odd,0.675,0.8574287482054672
3,2,1,inaccessible_odd,0.7000000000000001,0.8300316747838823
3,2,1,inaccessible_odd,0.7250000000000001,0.805259730739651
3,2,1,inaccessible_odd,0.75,0.7833891665083128
3,2,1,inaccessible_odd,0.775,0.7646884275259823
3,2,1,inaccessible_odd,0.8,0.7494030104797909
3,2,1,inaccessible_odd,0.8250000000000001,0.7377389715430708
3,2,1,inaccessible_odd,0.8500000000000001,0.7298473963183092
3,2,1,inaccessible_odd,0.875,0.7258125089036828
3,2,1,inaccessible_odd,0.9,0.7256456936014384
3,2,1,inaccessible_odd,0.925,0.7292865306700778
3,2,1,inaccessible_odd,0.9500000000000001,0.736610399499017
3,2,1,inaccessible_odd,0.9750000000000001,0.7474408697020979
3,2,1,inaccessible_odd,1.0,0.761564436658674
3,2,1,inaccessible_odd,1.0250000000000001,0.7787452565265113
3,2,1,inaccessible_odd,1.05,0.7987381635803743
3,2,1,inaccessible_odd,1.075,0.8212990556816485
3,2,1,inaccessible_odd,1.1,0.846192431207432
3,2,1,inaccessible_odd,1.125,0.8731963242075932
3,2,1,inaccessible_odd,1.1500000000000001,0.90210511223624
3,2,1,inaccessible_odd,1.175,0.9327307252391902
3,2,1,inaccessible_odd,1.2000000000000002,0.9649027372144843
3,2,1,inaccessible_odd,1.225,0.9984677327413842
3,2,1,inaccessible_odd,1.25,1.0332882438062336
3,2,1,inaccessible_odd,1.2750000000000001,1.0692414666108674
