artifact_state,length,boundary,beta,observable,family,shell_mode,shell_width,delta,count,log_d_count
exploratory,6,open,0.25,sigma_z,leaf_blocked,blocked,8,0.16,23,0.7539269926761689
exploratory,6,open,0.25,sigma_z,leaf_blocked,blocked,8,0.165,23,0.7539269926761689
exploratory,6,open,0.25,sigma_z,leaf_blocked,blocked,8,0.17,22,0.7432386031062164
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.0,64,1.0
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.005,63,0.9962133205833195
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.01,61,0.9884562229271479
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.015,61,0.9884562229271479
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.02,56,0.9678924870096008
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.025,55,0.9635599522541101
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.03,50,0.9406426982957875
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.035,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.04,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.045,45,0.9153088493882792
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.05,40,0.8869880158145604
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.055,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.06,37,0.8682422276048251
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.065,37,0.8682422276048251
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.07,36,0.8616541669070521
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.075,31,0.8256993850644793
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.08,26,0.7834066196901821
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.085,25,0.7739760316291208
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.09,25,0.7739760316291208
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.095,24,0.7641604167868594
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.1,24,0.7641604167868594
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.105,23,0.7539269926761689
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.11,23,0.7539269926761689
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.115,22,0.7432386031062164
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.12,21,0.7320529037964602
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.125,19,0.7079879189072643
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.13,18,0.6949875002403854
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.135,18,0.6949875002403854
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.14,17,0.6812438068750567
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.145,17,0.6812438068750567
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.15,16,0.6666666666666667
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.155,15,0.6511484326014199
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.16,14,0.6345591536762674
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.165,14,0.6345591536762674
exploratory,6,open,0.25,sigma_z,eth_nonintegrable,centred,8,0.17,12,0.5974937501201928
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.0,64,1.0
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.005,61,0.9884562229271479
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.01,60,0.9844817659347531
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.015,60,0.9844817659347531
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.02,56,0.9678924870096008
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.025,55,0.9635599522541101
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.03,54,0.9591479170272449
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.035,54,0.9591479170272449
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.04,54,0.9591479170272449
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.045,54,0.9591479170272449
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.05,52,0.9500732863568488
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.055,52,0.9500732863568488
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.06,51,0.945404223661916
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.065,51,0.945404223661916
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.07,51,0.945404223661916
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.075,49,0.9357849740192015
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.08,49,0.9357849740192015
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.085,48,0.9308270834535262
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.09,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.095,47,0.9257648086129396
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.1,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.105,45,0.9153088493882792
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.11,45,0.9153088493882792
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.115,45,0.9153088493882792
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.12,45,0.9153088493882792
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.125,45,0.9153088493882792
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.13,44,0.9099052697728829
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.135,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.14,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.145,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.15,41,0.8929253341030141
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.155,40,0.8869880158145604
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.16,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.165,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z,eth_integrable,centred,8,0.17,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.0,64,1.0
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.005,63,0.9962133205833195
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.01,61,0.9884562229271479
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.015,58,0.9763301658545954
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.02,57,0.9721483356941237
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.025,56,0.9678924870096008
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.03,54,0.9591479170272449
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.035,52,0.9500732863568488
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.04,50,0.9406426982957875
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.045,50,0.9406426982957875
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.05,44,0.9099052697728829
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.055,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.06,40,0.8869880158145604
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.065,40,0.8869880158145604
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.07,40,0.8869880158145604
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.075,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.08,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.085,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.09,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.095,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.1,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.105,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.11,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.115,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.12,33,0.8407323532264089
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.125,32,0.8333333333333334
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.13,31,0.8256993850644793
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.135,30,0.8178150992680865
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.14,30,0.8178150992680865
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.145,29,0.8096634991879288
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.15,28,0.8012258203429341
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.155,28,0.8012258203429341
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.16,28,0.8012258203429341
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.165,27,0.7924812503605781
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_centred,centred,8,0.17,26,0.7834066196901821
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.0,64,1.0
exploratory,6,open,0.25,sigma_z_sigma_z,leaf_blocked,blocked,8,0.005,63,0.9962133205833195
