group,label,length,delta,samples,minimum_alpha,median_alpha,maximum_alpha
main,main-text nonintegrable leaf,6,0.05,6,0.8746545855739309,0.8869880158145604,0.9591479170272449
main,main-text nonintegrable leaf,8,0.05,6,0.8426833733001433,0.9116481684446228,0.9364816370412093
main,main-text nonintegrable leaf,10,0.05,6,0.8044394119358453,0.8868782122370178,0.9328674927327947
main,main-text nonintegrable leaf,12,0.05,6,0.7224070820221873,0.8554325653968424,0.9218933972637539
main,main-text nonintegrable leaf,6,0.1,6,0.6812438068750567,0.7965350594390554,0.8987195704631268
main,main-text nonintegrable leaf,8,0.1,6,0.625,0.7858677394160293,0.8721599904374896
main,main-text nonintegrable leaf,10,0.1,6,0.5392317422778761,0.7294152360403634,0.839231742277876
main,main-text nonintegrable leaf,12,0.1,6,0.4750366431784244,0.6655894030323244,0.8106600378802666
main,main-text nonintegrable leaf,6,0.15,6,0.43082708345352605,0.7122412049906366,0.8178150992680865
main,main-text nonintegrable leaf,8,0.15,6,0.4324289523296622,0.660140151513817,0.7856752773577811
main,main-text nonintegrable leaf,10,0.15,6,0.3584962500721156,0.5760800219861864,0.7357552004618084
main,main-text nonintegrable leaf,12,0.15,6,0.21541354172676302,0.5210134353454956,0.6923615858449507
supplemental,supplemental nonintegrable leaf,6,0.05,36,0.7320529037964602,0.8839441928124676,0.9546534090938666
supplemental,supplemental nonintegrable leaf,8,0.05,36,0.5731203125901446,0.883651987892303,0.9218799289183657
supplemental,supplemental nonintegrable leaf,10,0.05,36,0.4807354922057604,0.8455274522965863,0.9226412192788785
supplemental,supplemental nonintegrable leaf,12,0.05,36,0.42744025141208053,0.7863055730402717,0.9056709044787633
supplemental,supplemental nonintegrable leaf,6,0.1,36,0.16666666666666669,0.7376457534513383,0.8616541669070521
supplemental,supplemental nonintegrable leaf,8,0.1,36,0.125,0.721590448854881,0.8358125658979023
supplemental,supplemental nonintegrable leaf,10,0.1,36,0.15849625007211562,0.6408491811627691,0.8108524456778169
supplemental,supplemental nonintegrable leaf,12,0.1,36,0.08333333333333334,0.5442800319652102,0.7796125913687344
supplemental,supplemental nonintegrable leaf,6,0.15,36,0.0,0.5765719364395496,0.7641604167868594
supplemental,supplemental nonintegrable leaf,8,0.15,36,0.0,0.5106203125901445,0.7259193652572006
supplemental,supplemental nonintegrable leaf,10,0.15,36,0.0,0.3953445297804259,0.6870364719583405
supplemental,supplemental nonintegrable leaf,12,0.15,36,0.0,0.3253064550857335,0.6411239131249438
integrable,integrable foliation,6,0.05,12,0.6949875002403854,0.8743210913608063,0.9406426982957875
integrable,integrable foliation,8,0.05,12,0.6981203125901446,0.8705150478028372,0.9651373985883982
integrable,integrable foliation,10,0.05,12,0.7426264754702098,0.8746466417476282,0.9682994583681682
integrable,integrable foliation,12,0.05,12,0.7461830258655731,0.8685370674927195,0.9670461024232532
integrable,integrable foliation,6,0.1,12,0.3869880158145604,0.7320529037964602,0.8987195704631268
integrable,integrable foliation,8,0.1,12,0.4625549647676365,0.6942827785486356,0.9272315643607374
integrable,integrable foliation,10,0.1,12,0.5044394119358453,0.7106666045776192,0.9303780748177103
integrable,integrable foliation,12,0.1,12,0.5206606261202988,0.7057286986553797,0.9281893166810186
integrable,integrable foliation,6,0.15,12,0.16666666666666669,0.5268273412406136,0.8682422276048251
integrable,integrable foliation,8,0.15,12,0.3231203125901445,0.4941806622255324,0.8777959766285568
integrable,integrable foliation,10,0.15,12,0.33219280948873625,0.5563352236421595,0.8897845456005512
integrable,integrable foliation,12,0.15,12,0.34062190343752835,0.6200782794833519,0.8821584541408977
