artifact_state,parameter_match,group,length,dimension,beta,observable,family,boundary,shell_mode,shell_width,delta,count,log_d_count
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.0975,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.10250000000000001,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.105,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1075,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.11,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1125,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.115,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.11750000000000001,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.12,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1225,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.125,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1275,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.13,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1325,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.135,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1375,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.14,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.14250000000000002,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.145,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1475,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.15,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1525,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.155,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1575,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.16,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1625,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.165,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.1675,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,eth_integrable,periodic,centred,64,0.17,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,leaf,periodic,centred,64,0.0,4096,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,leaf,periodic,centred,64,0.0025,3884,0.9936106237849328
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,12,4096,0.25,sigma_x,leaf,periodic,centred,64,0.005,3667,0.9866987125593055
