family,strategy,seed,qubits,gate_count,one_qubit_gates,two_qubit_gates,native_three_qubit_gates,native_four_qubit_gates,scheduled_stages,movement_events,movement_distance_um,movement_duration_us,transfer_events,idle_exposure,total_duration_us,idle_coherence_us,log_no_fault,no_fault
qaoa_3local,mobius_native,43,6,12,0,0,12,0,12,72,2157.321878569122,2802.1030590894165,72,36,3169.015059089416,9507.045177268248,-0.3918690528994673,0.6757926012486177
qaoa_3local,zap_decomposed,43,6,300,228,72,0,0,223,288,8629.287514276491,15904.742155314805,288,288,25942.662155314832,107618.64862125937,-1.5101046379853282,0.22088686359368703
p_spin_ising,mobius_native,43,6,12,0,0,6,6,12,84,2460.2924639769058,2802.1030590894165,84,30,3169.015059089416,7830.975467363862,-0.4659082215394709,0.6275648783427589
p_spin_ising,zap_decomposed,43,6,492,372,120,0,0,350,480,14405.025499939718,26560.86774404991,480,480,42164.06774405003,173232.27097620032,-2.5103526076418214,0.08123958849023165
hypergraph_4local,mobius_native,43,6,12,0,0,0,12,12,96,2817.894500835215,2863.1445126625363,96,24,3230.056512662536,6460.113025325072,-0.5401508616913849,0.582660344618108
hypergraph_4local,zap_decomposed,43,6,684,516,168,0,0,480,672,20075.151936835126,37015.46419785097,672,672,58339.94419785107,238975.77679140455,-3.510687166271823,0.02987637734270105
qram_oracle,mobius_native,43,6,18,0,0,6,12,18,132,3911.8756902992222,4289.387184074005,132,42,4839.755184074005,11167.126132413243,-0.7360543818200879,0.47900014358081466
qram_oracle,zap_decomposed,43,6,834,630,204,0,0,592,816,24757.827066703805,45562.26105648023,816,816,71931.70105648033,295318.8042259216,-4.267428620680412,0.014017781884751234
multiplier_oracle,mobius_native,43,6,15,0,6,6,3,15,84,2501.4977134139067,3440.8589789225334,84,48,3898.202978922533,12307.043534374277,-0.44909362118096646,0.6382063462649283
multiplier_oracle,zap_decomposed,43,6,327,243,84,0,0,242,336,10258.17332595727,18857.99206560478,336,336,29624.232065604814,122292.9282624193,-1.7527129345786927,0.17330314502180783
qft_pairs,mobius_native,43,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
qft_pairs,zap_decomposed,43,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
ghz_chain,mobius_native,43,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
