family,qubits,seed,p3,p4,native_log_no_fault,zap_log_no_fault,delta_log_no_fault
synthetic_3sat,30,19,0.0,0.0,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.005,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.01,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.015000000000000003,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.02,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.025,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.030000000000000006,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.035,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.04,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.045,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.05,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.05500000000000001,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.06000000000000001,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.065,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.07,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.075,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.08,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.085,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.09,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.095,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.1,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.10500000000000001,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.11000000000000001,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.11500000000000002,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.12000000000000002,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.125,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.13,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.135,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.14,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.14500000000000002,-11.267360196436151,-38.06016156432932,26.79280136789317
synthetic_3sat,30,19,0.0,0.15,-11.267360196436151,-38.06016156432932,26.79280136789317
