target_id,panel_id,family,spin,mu,computed_qmax,printed_qmax,absolute_difference,maximum_theta,maximum_phi,state_norm_error
T001,fig2a,css_x,20.0,0,1.00000000000001,1,5.32907051820075e-15,1.5707963267949,0,2.22044604925031e-16
T002,fig2b,one_axis,20.0,0.199,0.446284278098618,0.445,0.0012842780986177,1.5707963267949,0,2.22044604925031e-16
T003,fig2c,one_axis,20.0,0.399,0.24058086730577,0.241,0.000419132694229551,1.5707963267949,0,2.22044604925031e-16
T004,fig3a,css_z,20.0,0,1,1,4.44089209850063e-16,0,-2.93215314335047,0
T005,fig3b,two_axis,20.0,0.203,0.254470764182675,0.252,0.00247076418267539,0,-2.33001455141243,4.9960036108132e-15
T006,fig3c,two_axis,20.0,0.248,0.185588720705989,0.187,0.00141127929401116,1.41371669411541,-3.14159265358979,4.88498130835069e-15
