spin,css_variance,one_axis_minimum,one_axis_mu,one_axis_asymptote,two_axis_minimum,two_axis_mu,two_axis_asymptote,one_axis_boundary_hit,two_axis_boundary_hit
1.5,0.75,0.25,1.2309594348272,0.39685026299205,0.25,1.20919957700097,0.5,false,false
2,1,0.302483900748498,0.983040183068833,0.436790232368149,0.249999999999999,1.20919957690563,0.5,false,false
2.5,1.25,0.344788179444585,0.827061706344461,0.470518014440514,0.285117946661662,0.914242517714802,0.5,false,false
3,1.5,0.380811952217731,0.721913256285712,0.5,0.300142735901797,0.817341434352845,0.5,false,false
4,2,0.440775568103074,0.587155202996611,0.550321208149104,0.326735365972608,0.662578702799513,0.5,false,false
5,2.5,0.490158950286556,0.502679921148278,0.592815550748344,0.345248695957871,0.565118154901317,0.5,false,false
6,3,0.532491036401046,0.443763840685698,0.629960524947437,0.359086171342877,0.496195842651394,0.5,false,false
8,4,0.603131445236059,0.365574084742572,0.693361274350635,0.378474447564997,0.403532461121136,0.5,false,false
10,5,0.66138179207882,0.315066830628726,0.746900791092861,0.391428713388684,0.343119791786543,0.5,false,false
12,6,0.711387209566005,0.279222926070454,0.7937005259841,0.400696783996523,0.300107125018488,0.5,false,false
15,7.5,0.775767422442487,0.240994110727298,0.854987973338348,0.410518622863279,0.254244732109571,0.5,false,false
20,10,0.864410855527035,0.199440235914472,0.941036028881028,0.420932673496651,0.204637439684965,0.5,false,false
25,12.5,0.93799828363768,0.172247908540787,1.01370033259557,0.427477334546836,0.17248826099795,0.5,false,false
30,15,1.00156809485702,0.15281368143053,1.07721734501594,0.431965247205142,0.149763550350254,0.5,false,false
40,20,1.10880761494833,0.126507067984036,1.18563110149669,0.437713223818264,0.119494751262504,0.5,false,false
50,25,1.19841585278596,0.10925385885717,1.27718238732259,0.441232727722308,0.100065912693331,0.5,false,false
60,30,1.27620459497566,0.0969108374924086,1.35720880829745,0.443606663018727,0.0864383756807176,0.5,false,false
80,40,1.40811070969004,0.0801941931407693,1.49380158218572,0.446602530673772,0.0684433410022118,0.5,false,false
100,50,1.51887171726089,0.0692292991562096,1.60914897434272,0.448413607310613,0.0569991370897611,0.5,false,false
