axis,index,radians
theta,0,0
theta,1,0.026179938779914941
theta,2,0.052359877559829883
theta,3,0.078539816339744828
theta,4,0.10471975511965977
theta,5,0.1308996938995747
theta,6,0.15707963267948966
theta,7,0.18325957145940458
theta,8,0.20943951023931953
theta,9,0.23561944901923448
theta,10,0.26179938779914941
theta,11,0.28797932657906433
theta,12,0.31415926535897931
theta,13,0.34033920413889424
theta,14,0.36651914291880916
theta,15,0.39269908169872414
theta,16,0.41887902047863906
theta,17,0.44505895925855399
theta,18,0.47123889803846897
theta,19,0.49741883681838389
theta,20,0.52359877559829882
theta,21,0.5497787143782138
theta,22,0.57595865315812866
theta,23,0.60213859193804364
theta,24,0.62831853071795862
theta,25,0.65449846949787349
theta,26,0.68067840827778847
theta,27,0.70685834705770345
theta,28,0.73303828583761832
theta,29,0.7592182246175333
theta,30,0.78539816339744828
theta,31,0.81157810217736315
theta,32,0.83775804095727813
theta,33,0.86393797973719311
theta,34,0.89011791851710798
theta,35,0.91629785729702296
theta,36,0.94247779607693793
theta,37,0.9686577348568528
theta,38,0.99483767363676778
theta,39,1.0210176124166828
theta,40,1.0471975511965976
theta,41,1.0733774899765125
theta,42,1.0995574287564276
theta,43,1.1257373675363425
theta,44,1.1519173063162573
theta,45,1.1780972450961724
theta,46,1.2042771838760873
theta,47,1.2304571226560022
theta,48,1.2566370614359172
theta,49,1.2828170002158321
theta,50,1.308996938995747
theta,51,1.3351768777756621
theta,52,1.3613568165555769
theta,53,1.3875367553354918
theta,54,1.4137166941154069
theta,55,1.4398966328953218
theta,56,1.4660765716752366
theta,57,1.4922565104551517
theta,58,1.5184364492350666
theta,59,1.5446163880149815
theta,60,1.5707963267948966
theta,61,1.5969762655748114
theta,62,1.6231562043547263
theta,63,1.6493361431346414
theta,64,1.6755160819145563
theta,65,1.7016960206944711
theta,66,1.7278759594743862
theta,67,1.7540558982543011
theta,68,1.780235837034216
theta,69,1.806415775814131
theta,70,1.8325957145940459
theta,71,1.8587756533739608
theta,72,1.8849555921538759
theta,73,1.9111355309337907
theta,74,1.9373154697137056
theta,75,1.9634954084936207
theta,76,1.9896753472735356
theta,77,2.0158552860534504
theta,78,2.0420352248333655
theta,79,2.0682151636132802
theta,80,2.0943951023931953
theta,81,2.1205750411731104
theta,82,2.146754979953025
theta,83,2.1729349187329401
theta,84,2.1991148575128552
theta,85,2.2252947962927698
theta,86,2.2514747350726849
theta,87,2.2776546738526
theta,88,2.3038346126325147
theta,89,2.3300145514124297
theta,90,2.3561944901923448
theta,91,2.3823744289722595
theta,92,2.4085543677521746
theta,93,2.4347343065320897
theta,94,2.4609142453120043
theta,95,2.4870941840919194
theta,96,2.5132741228718345
theta,97,2.5394540616517491
theta,98,2.5656340004316642
theta,99,2.5918139392115793
theta,100,2.617993877991494
theta,101,2.6441738167714091
theta,102,2.6703537555513241
theta,103,2.6965336943312388
theta,104,2.7227136331111539
theta,105,2.748893571891069
theta,106,2.7750735106709836
theta,107,2.8012534494508987
theta,108,2.8274333882308138
theta,109,2.8536133270107285
theta,110,2.8797932657906435
theta,111,2.9059732045705586
theta,112,2.9321531433504733
theta,113,2.9583330821303884
theta,114,2.9845130209103035
theta,115,3.0106929596902181
theta,116,3.0368728984701332
theta,117,3.0630528372500483
theta,118,3.0892327760299629
theta,119,3.115412714809878
theta,120,3.1415926535897931
phi,0,-3.1415926535897931
phi,1,-3.115412714809878
phi,2,-3.0892327760299634
phi,3,-3.0630528372500483
phi,4,-3.0368728984701332
phi,5,-3.0106929596902186
phi,6,-2.9845130209103035
phi,7,-2.9583330821303884
phi,8,-2.9321531433504737
phi,9,-2.9059732045705586
phi,10,-2.8797932657906435
phi,11,-2.8536133270107289
phi,12,-2.8274333882308138
phi,13,-2.8012534494508987
phi,14,-2.7750735106709841
phi,15,-2.748893571891069
phi,16,-2.7227136331111539
phi,17,-2.6965336943312392
phi,18,-2.6703537555513241
phi,19,-2.6441738167714091
phi,20,-2.6179938779914944
phi,21,-2.5918139392115793
phi,22,-2.5656340004316647
phi,23,-2.5394540616517496
phi,24,-2.5132741228718345
phi,25,-2.4870941840919194
phi,26,-2.4609142453120048
phi,27,-2.4347343065320897
phi,28,-2.408554367752175
phi,29,-2.3823744289722599
phi,30,-2.3561944901923448
phi,31,-2.3300145514124297
phi,32,-2.3038346126325151
phi,33,-2.2776546738526
phi,34,-2.2514747350726854
phi,35,-2.2252947962927703
phi,36,-2.1991148575128552
phi,37,-2.1729349187329401
phi,38,-2.1467549799530254
phi,39,-2.1205750411731104
phi,40,-2.0943951023931957
phi,41,-2.0682151636132806
phi,42,-2.0420352248333655
phi,43,-2.0158552860534504
phi,44,-1.9896753472735358
phi,45,-1.9634954084936207
phi,46,-1.9373154697137058
phi,47,-1.911135530933791
phi,48,-1.8849555921538759
phi,49,-1.858775653373961
phi,50,-1.8325957145940461
phi,51,-1.806415775814131
phi,52,-1.7802358370342162
phi,53,-1.7540558982543013
phi,54,-1.7278759594743862
phi,55,-1.7016960206944713
phi,56,-1.6755160819145565
phi,57,-1.6493361431346414
phi,58,-1.6231562043547265
phi,59,-1.5969762655748116
phi,60,-1.5707963267948966
phi,61,-1.5446163880149817
phi,62,-1.5184364492350668
phi,63,-1.4922565104551517
phi,64,-1.4660765716752369
phi,65,-1.439896632895322
phi,66,-1.4137166941154069
phi,67,-1.387536755335492
phi,68,-1.3613568165555772
phi,69,-1.3351768777756621
phi,70,-1.3089969389957472
phi,71,-1.2828170002158323
phi,72,-1.2566370614359172
phi,73,-1.2304571226560024
phi,74,-1.2042771838760875
phi,75,-1.1780972450961724
phi,76,-1.1519173063162575
phi,77,-1.1257373675363427
phi,78,-1.0995574287564276
phi,79,-1.0733774899765129
phi,80,-1.0471975511965979
phi,81,-1.0210176124166828
phi,82,-0.99483767363676812
phi,83,-0.96865773485685303
phi,84,-0.94247779607693793
phi,85,-0.91629785729702329
phi,86,-0.8901179185171082
phi,87,-0.86393797973719311
phi,88,-0.83775804095727846
phi,89,-0.81157810217736337
phi,90,-0.78539816339744828
phi,91,-0.75921822461753363
phi,92,-0.73303828583761854
phi,93,-0.70685834705770345
phi,94,-0.6806784082777888
phi,95,-0.65449846949787371
phi,96,-0.62831853071795862
phi,97,-0.60213859193804398
phi,98,-0.57595865315812889
phi,99,-0.5497787143782138
phi,100,-0.52359877559829915
phi,101,-0.49741883681838406
