state,integer_state,hamming_distance_from_z2,x,y
000000,0,3,3,-1.5
001001,9,3,3,-0.5
010010,18,3,3,0.5
100100,36,3,3,1.5
000001,1,2,2,-1.0
000100,4,2,2,0.0
010000,16,2,2,1.0
000010,2,4,4,-1.0
001000,8,4,4,0.0
100000,32,4,4,1.0
000101,5,1,1,-1.0
010001,17,1,1,0.0
010100,20,1,1,1.0
001010,10,5,5,-1.0
100010,34,5,5,0.0
101000,40,5,5,1.0
010101,21,0,0,0.0
101010,42,6,6,0.0
