eigen_index,L,energy,z2_overlap
0,16,-9.656989303752463,6.256605161764005e-05
1,16,-8.688765725262863,0.0006615968804540968
2,16,-8.486190950909064,1.1360182120192651e-32
3,16,-8.486190950909059,1.389142540667836e-32
4,16,-8.066133166578947,2.6949783192536132e-33
5,16,-8.066133166578924,5.2504192971699784e-33
6,16,-7.645225687647835,1.4139569552460309e-30
7,16,-7.645225687647826,1.193703800734447e-31
8,16,-7.634847871975408,0.003295264721388263
9,16,-7.368765798849807,1.6076160209054126e-32
10,16,-7.368765798849805,7.540343025310435e-33
11,16,-7.326371146607716,3.773275732260982e-31
12,16,-7.326371146607711,7.33167366578983e-32
13,16,-7.307710641418539,2.0965195876551582e-31
14,16,-7.307710641418531,3.3359528911517534e-33
15,16,-7.1745603723226,5.119292123454553e-32
16,16,-7.174560372322591,5.023298975865067e-32
17,16,-7.130490389191509,0.00030182286811485814
18,16,-7.082388365827749,1.7938073873116576e-31
19,16,-7.08238836582774,9.651141270589399e-34
20,16,-6.820147286742443,1.3590237647908266e-31
21,16,-6.820147286742443,2.2050469745562682e-31
22,16,-6.743777741911812,1.908451432262356e-32
23,16,-6.7437777419118055,6.637980802605482e-30
24,16,-6.519897501806376,5.263993576656085e-32
25,16,-6.519897501806356,1.6387201913234852e-31
26,16,-6.482441481231986,0.01142312547004518
27,16,-6.474922294926595,4.846777816326754e-32
28,16,-6.47492229492659,7.915075812411088e-28
29,16,-6.460663607040885,1.471614517705932e-05
30,16,-6.39340755620522,8.171368878683646e-34
31,16,-6.393407556205218,4.073575517515906e-32
32,16,-6.24470833934759,2.313865319931543e-32
33,16,-6.24470833934758,8.594921635044801e-30
34,16,-6.239181026951699,1.2372300024444082e-32
35,16,-6.23918102695169,9.433799974824624e-31
36,16,-6.18037614667619,5.4933562771927914e-33
37,16,-6.180376146676176,1.8844072896519923e-31
38,16,-6.1218628527423995,2.3571556156185154e-30
39,16,-6.121862852742397,1.565958825390758e-35
40,16,-6.1189632680944825,5.936403537161734e-33
41,16,-6.118963268094477,9.88884346258685e-32
42,16,-6.1077512309456985,9.395674199165288e-32
43,16,-6.107751230945697,1.2948938587040557e-33
44,16,-6.085263004830236,2.7403664673367215e-32
45,16,-6.085263004830229,1.3504576422929049e-30
46,16,-6.075851102586621,2.8007124510410467e-30
47,16,-6.075851102586613,2.9830823323605226e-33
48,16,-6.005731762940307,1.5115790524447223e-32
49,16,-6.005731762940303,2.76924921082342e-30
50,16,-5.97663082423519,0.0016150309010963717
51,16,-5.861493879040039,1.2018061066245012e-32
52,16,-5.861493879040035,4.521610486901987e-32
53,16,-5.84390887183982,4.718716236652707e-32
54,16,-5.843908871839819,2.097447776965647e-34
55,16,-5.814367799580686,2.0755682393959445e-31
56,16,-5.814367799580678,7.5457221944052e-32
57,16,-5.7462321790465385,2.1868390290152317e-33
58,16,-5.746232179046532,3.866253776399653e-32
59,16,-5.710617125970646,5.531866526253926e-32
60,16,-5.7106171259706455,1.2216691907937567e-32
61,16,-5.698354504013562,3.3908987483147563e-06
62,16,-5.663868781756656,3.3365301785076554e-31
63,16,-5.663868781756642,5.787616275693879e-32
64,16,-5.623064572264407,6.587997145077604e-33
65,16,-5.623064572264403,1.1504613497645211e-32
66,16,-5.600763561539562,8.912094128433095e-32
67,16,-5.574786095446118,1.259257149940208e-07
68,16,-5.454735950739823,1.195512007351921e-31
69,16,-5.454735950739823,2.853277915159895e-29
70,16,-5.452339995154346,9.396275184246295e-05
71,16,-5.443539080464083,1.3325868021615966e-31
72,16,-5.44353908046408,5.185254202271969e-32
73,16,-5.4337378690631075,1.0226338152832776e-32
74,16,-5.433737869063107,6.542390908183964e-33
75,16,-5.382612939447978,5.900271659898258e-32
76,16,-5.382612939447974,1.801022523951338e-31
77,16,-5.3714884422695945,1.9557342724906243e-32
78,16,-5.371488442269584,1.2909079733829346e-33
79,16,-5.351192529659712,1.334352490161203e-32
80,16,-5.351192529659707,5.167607922314223e-32
81,16,-5.255930855226058,0.030106003369747808
82,16,-5.1592882807486795,2.0182853070091974e-31
83,16,-5.159288280748676,9.69319104024391e-33
84,16,-5.153303420017995,1.633363564918064e-32
85,16,-5.153303420017993,1.7517345814561836e-31
86,16,-5.138318039062697,4.152031635868852e-32
87,16,-5.129415474046242,5.818662845028194e-34
88,16,-5.12941547404624,1.7963145448882706e-32
89,16,-5.128556704916052,1.6757030926076237e-34
