panel,n,exact_energy,fsa_energy,exact_projection,fsa_projection
ground_state,0,-9.656989303752463,-9.631336954545933,6.256605161764005e-05,6.488054929795165e-05
ground_state,1,-9.656989303752463,-9.631336954545933,0.0007293437444659763,0.0007523114732163456
ground_state,2,-9.656989303752463,-9.631336954545933,0.004060554339296426,0.004162033418315535
ground_state,3,-9.656989303752463,-9.631336954545933,0.014466143141274453,0.014715191409693448
ground_state,4,-9.656989303752463,-9.631336954545933,0.03726737555033658,0.03759288477163599
ground_state,5,-9.656989303752463,-9.631336954545933,0.07424289040779564,0.07432237227524459
ground_state,6,-9.656989303752463,-9.631336954545933,0.11903784581323246,0.11859714511759038
ground_state,7,-9.656989303752463,-9.631336954545933,0.15718231564531612,0.15657754738942195
ground_state,8,-9.656989303752463,-9.631336954545933,0.17282691855441862,0.17302171868971092
ground_state,9,-9.656989303752463,-9.631336954545933,0.15858021037851763,0.16017408129052016
ground_state,10,-9.656989303752463,-9.631336954545933,0.12080057639760886,0.12326298437739723
ground_state,11,-9.656989303752463,-9.631336954545933,0.075428927037599,0.07762713275450309
ground_state,12,-9.656989303752463,-9.631336954545933,0.037742791683398474,0.039028611737094106
ground_state,13,-9.656989303752463,-9.631336954545933,0.014573006031337134,0.015078253994791633
ground_state,14,-9.656989303752463,-9.631336954545933,0.004071033841812784,0.004204791974085762
ground_state,15,-9.656989303752463,-9.631336954545933,0.0007293437444659779,0.0007531094126087034
ground_state,16,-9.656989303752463,-9.631336954545933,6.256605161764016e-05,6.494936487225215e-05
near_zero_scar,0,2.889529970628332e-16,8.881784197001252e-15,0.025528989190078486,0.18085437852462685
near_zero_scar,1,2.889529970628332e-16,8.881784197001252e-15,0.0,2.948006339093335e-32
near_zero_scar,2,2.889529970628332e-16,8.881784197001252e-15,0.014587993822902002,0.10334535915693015
near_zero_scar,3,2.889529970628332e-16,8.881784197001252e-15,9.481067235992242e-34,8.302022761049437e-34
near_zero_scar,4,2.889529970628332e-16,8.881784197001252e-15,0.01266753388106523,0.08919144355389486
near_zero_scar,5,2.889529970628332e-16,8.881784197001252e-15,1.5919014696575746e-33,1.660352478062098e-30
near_zero_scar,6,2.889529970628332e-16,8.881784197001252e-15,0.012137068003496274,0.08491567553523124
near_zero_scar,7,2.889529970628332e-16,8.881784197001252e-15,3.161037203364914e-11,5.869529984722673e-31
near_zero_scar,8,2.889529970628332e-16,8.881784197001252e-15,0.01179786811132733,0.08364885866985455
near_zero_scar,9,2.889529970628332e-16,8.881784197001252e-15,3.155448515154954e-10,7.676346137806181e-31
near_zero_scar,10,2.889529970628332e-16,8.881784197001252e-15,0.011663211158176208,0.0845420980020228
near_zero_scar,11,2.889529970628332e-16,8.881784197001252e-15,1.088071020213991e-09,2.3902136049316495e-30
near_zero_scar,12,2.889529970628332e-16,8.881784197001252e-15,0.012339546616696402,0.0892727372710764
near_zero_scar,13,2.889529970628332e-16,8.881784197001252e-15,2.4460065951074107e-11,1.631681882415594e-31
near_zero_scar,14,2.889529970628332e-16,8.881784197001252e-15,0.014769356405503383,0.10395944943515992
near_zero_scar,15,2.889529970628332e-16,8.881784197001252e-15,4.333342374871281e-34,1.7775994408351523e-30
near_zero_scar,16,2.889529970628332e-16,8.881784197001252e-15,0.02552898919007852,0.18026999985120307
