L,s_over_mean,probability_density
12,0.05714285714285714,1.4
12,0.17142857142857143,0.35
12,0.2857142857142857,0.5249999999999999
12,0.4,0.8750000000000001
12,0.5142857142857142,0.525
12,0.6285714285714286,0.8749999999999997
12,0.7428571428571429,0.3500000000000002
12,0.8571428571428571,0.8749999999999997
12,0.9714285714285713,0.1750000000000001
12,1.0857142857142856,0.5249999999999999
12,1.2,0.0
12,1.3142857142857143,0.34999999999999987
12,1.4285714285714286,0.34999999999999987
12,1.5428571428571427,0.1750000000000003
12,1.657142857142857,0.5249999999999999
12,1.7714285714285714,0.0
12,1.8857142857142857,0.0
12,2.0,0.1750000000000003
12,2.114285714285714,0.0
12,2.2285714285714286,0.0
12,2.3428571428571425,0.17499999999999993
12,2.4571428571428573,0.34999999999999987
12,2.571428571428571,0.17499999999999993
12,2.685714285714286,0.0
12,2.8,0.0
12,2.9142857142857146,0.0
12,3.0285714285714285,0.0
12,3.1428571428571423,0.0
12,3.257142857142857,0.0
12,3.371428571428571,0.0
12,3.4857142857142858,0.0
12,3.5999999999999996,0.0
12,3.7142857142857144,0.0
12,3.8285714285714283,0.0
12,3.942857142857143,0.0
14,0.05714285714285714,1.1354961832061068
14,0.17142857142857143,1.001908396946565
14,0.2857142857142857,0.601145038167939
14,0.4,0.734732824427481
14,0.5142857142857142,1.0019083969465652
14,0.6285714285714286,0.3339694656488549
14,0.7428571428571429,0.26717557251908414
14,0.8571428571428571,0.4675572519083968
14,0.9714285714285713,0.40076335877862623
14,1.0857142857142856,0.40076335877862584
14,1.2,0.3339694656488549
14,1.3142857142857143,0.26717557251908386
14,1.4285714285714286,0.40076335877862584
14,1.5428571428571427,0.0667938931297711
14,1.657142857142857,0.13358778625954193
14,1.7714285714285714,0.13358778625954193
14,1.8857142857142857,0.13358778625954193
14,2.0,0.1335877862595422
14,2.114285714285714,0.06679389312977096
14,2.2285714285714286,0.06679389312977096
14,2.3428571428571425,0.06679389312977096
14,2.4571428571428573,0.06679389312977096
14,2.571428571428571,0.13358778625954193
14,2.685714285714286,0.06679389312977096
14,2.8,0.0
14,2.9142857142857146,0.0
14,3.0285714285714285,0.0
14,3.1428571428571423,0.13358778625954193
14,3.257142857142857,0.0
14,3.371428571428571,0.06679389312977096
14,3.4857142857142858,0.0
14,3.5999999999999996,0.06679389312977096
14,3.7142857142857144,0.06679389312977096
14,3.8285714285714283,0.0
14,3.942857142857143,0.0
16,0.05714285714285714,1.0206258890469417
16,0.17142857142857143,0.8961593172119487
16,0.2857142857142857,0.6970128022759601
16,0.4,0.6223328591749645
16,0.5142857142857142,0.8214793741109532
16,0.6285714285714286,0.5725462304409671
16,0.7428571428571429,0.39829302987197746
16,0.8571428571428571,0.4729729729729728
16,0.9714285714285713,0.2738264580369845
16,1.0857142857142856,0.2489331436699857
16,1.2,0.3733997155049785
16,1.3142857142857143,0.29871977240398284
16,1.4285714285714286,0.14935988620199142
16,1.5428571428571427,0.17425320056899032
16,1.657142857142857,0.14935988620199142
16,1.7714285714285714,0.14935988620199142
16,1.8857142857142857,0.34850640113798
16,2.0,0.12446657183499309
16,2.114285714285714,0.09957325746799427
16,2.2285714285714286,0.12446657183499285
16,2.3428571428571425,0.14935988620199142
16,2.4571428571428573,0.09957325746799427
16,2.571428571428571,0.04978662873399713
16,2.685714285714286,0.04978662873399713
16,2.8,0.024893314366998567
16,2.9142857142857146,0.024893314366998567
16,3.0285714285714285,0.12446657183499334
16,3.1428571428571423,0.0
16,3.257142857142857,0.04978662873399713
16,3.371428571428571,0.087126600284495
16,3.4857142857142858,0.024893314366998567
16,3.5999999999999996,0.04978662873399713
16,3.7142857142857144,0.0
16,3.8285714285714283,0.0
16,3.942857142857143,0.0
