source,target
000001,000000
000010,000000
000100,000000
001000,000000
010000,000000
100000,000000
000101,000001
001001,000001
010001,000001
001010,000010
010010,000010
100010,000010
000101,000100
010100,000100
100100,000100
010101,000101
001001,001000
001010,001000
101000,001000
101010,001010
010001,010000
010010,010000
010100,010000
010101,010001
010101,010100
100010,100000
100100,100000
101000,100000
101010,100010
101010,101000
