target_id,p0,activity,shear_rate,fit_stress,newtonian_viscosity,relative_rms
T018,3.65,1.0,0.002,0.0014669663697987633,0.7334831848993817,0.6236787639696113
T018,3.65,1.0,0.006,0.00440089910939629,0.7334831848993817,0.6236787639696113
T018,3.65,1.0,0.02,0.014669663697987634,0.7334831848993817,0.6236787639696113
