realization,mean_potential,reflection_probability,transmission_probability,unitarity_residual,lyapunov_exponent_per_site
0,-0.03901795886584513,0.0,1.0,0.0,-0.0
1,-0.03233152835483809,0.0,1.0,0.0,-0.0
2,-0.0076643760726764504,0.0,1.0,0.0,-0.0
3,0.002590263776905171,0.0,1.0,0.0,-0.0
4,-0.0004212119954751757,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
5,0.018514177925823473,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
6,0.013899147553616972,0.0,1.0,0.0,-0.0
7,0.010564967467327543,0.0,1.0,0.0,-0.0
8,-0.0045784441896628975,0.0,1.0,0.0,-0.0
9,0.015176138006991682,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
10,-0.0007729760425374717,0.0,1.0,0.0,-0.0
11,-0.0359746366950823,0.0,1.0,0.0,-0.0
12,0.000521614227553922,0.0,1.0,0.0,-0.0
13,0.008323158810398591,0.0,1.0,0.0,-0.0
14,0.003651577632078115,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
15,0.0207222957624429,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
16,-0.01256829620673978,0.0,1.0,0.0,-0.0
17,-0.01795470401881149,0.0,1.0,0.0,-0.0
18,0.03688932268589354,0.0,1.0,0.0,-0.0
19,-0.0007736146658565051,0.0,1.0,0.0,-0.0
20,0.013856387806999349,0.0,1.0,0.0,-0.0
21,0.02211326369408386,0.0,1.0,0.0,-0.0
22,0.023205181797545486,0.0,1.0,0.0,-0.0
23,0.009189315364498648,0.0,1.0,0.0,-0.0
24,0.0016732337106919255,0.0,1.0,0.0,-0.0
25,-0.01423208293672669,0.0,1.0,0.0,-0.0
26,0.03579364793745665,0.0,1.0,0.0,-0.0
27,-0.029881650730966804,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
28,0.013825329005013012,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
29,0.05615190561800492,0.0,1.0,0.0,-0.0
30,-0.046674874536219435,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
31,0.05355291064104187,0.0,0.9999999999999998,1.1102230246251565e-16,4.336808689942019e-19
