width_chains,matrix_size_per_spin,valley_gap_over_t,valley_gap_spread,kramers_crossing_max_abs_energy_over_t,kramers_crossing_min_edge_weight,edge_coordination,bulk_coordination_unique
16,32,0.35312846915367213,1.3877787807814457e-15,3.947620631875398e-16,0.9999872243012042,"[2, 2]",[3]
20,40,0.33710426690679474,1.1102230246251565e-16,2.472159337271451e-16,0.9999872243012047,"[2, 2]",[3]
24,48,0.32820746732512496,1.1657341758564144e-15,2.354644720887073e-16,0.9999872243012067,"[2, 2]",[3]
