interaction_u,temperature,relaxation_kernel,conductivity_dimensionless
0.2,0.05,1.2407915921356986e-05,2014842.795393949
0.2,0.0793700526,0.00012506395564967432,199897.72328990858
0.2,0.12599210499,0.0012605656823485298,19832.366016361077
0.2,0.2,0.012705705903469554,1967.6199173769032
0.2,0.31748021039,0.1280654905650975,195.21262043104534
0.2,0.50396841996,1.2908192587248946,19.367544937852614
0.2,0.8,13.010642845152823,1.921503825563382
0.4,0.05,1.2407915921356986e-05,503710.6988484872
0.4,0.0793700526,0.00012506395564967432,49974.430822477145
0.4,0.12599210499,0.0012605656823485298,4958.091504090269
0.4,0.2,0.012705705903469554,491.9049793442258
0.4,0.31748021039,0.1280654905650975,48.803155107761334
0.4,0.50396841996,1.2908192587248946,4.8418862344631535
0.4,0.8,13.010642845152823,0.4803759563908455
0.8,0.05,1.2407915921356986e-05,125927.6747121218
0.8,0.0793700526,0.00012506395564967432,12493.607705619286
0.8,0.12599210499,0.0012605656823485298,1239.5228760225673
0.8,0.2,0.012705705903469554,122.97624483605645
0.8,0.31748021039,0.1280654905650975,12.200788776940334
0.8,0.50396841996,1.2908192587248946,1.2104715586157884
0.8,0.8,13.010642845152823,0.12009398909771138
