lambda_r_over_delta_so,lattice_rashba_over_t,raw_response,minimum_direct_gap_over_t,physical_spin_commutator_norm,spin_current_hermiticity_residual,response_over_quantized,spin_hall_in_e_over_2pi,relative_correction
0.0,0.0,0.34437332076405436,0.3117691453623979,0.0,0.0,1.0,1.0,0.0
0.01,0.0010392304845413265,0.3444079418661891,0.3086514539087738,0.0062353829072479584,0.0,1.0001005336361655,1.0001005336361655,0.0001005336361654674
0.05,0.005196152422706632,0.34524257469895814,0.29618068809427794,0.031176914536239792,0.0,1.0025241616655296,1.0025241616655296,0.0025241616655296006
0.1,0.010392304845413263,0.347897571559687,0.2805922308261581,0.062353829072479584,0.0,1.0102338090181129,1.0102338090181129,0.010233809018112883
0.25,0.02598076211353316,0.3686552030704144,0.23382685902179845,0.15588457268119896,0.0,1.070510346888912,1.070510346888912,0.07051034688891189
