path_index,path_coordinate,segment,grid_size,spin_orbit_t2_over_t,rashba_lambda_over_t,in_plane_zeeman_over_t,staggered_sublattice_mass_over_t,valence_maximum_over_t,conduction_minimum_over_t,minimum_direct_gap_over_t,indirect_gap_over_t
0,0.0,break_time_reversal,48,0.03,0.0,0.0,0.0,-0.15588457268119896,0.15588457268119896,0.3117691453623979,0.3117691453623979
1,0.0125,break_time_reversal,48,0.03,0.001,0.001875,0.0,-0.15289595819501361,0.15589574118458097,0.3087916993795946,0.3087916993795946
2,0.025,break_time_reversal,48,0.03,0.002,0.00375,0.0,-0.14993055634474364,0.15592882034447747,0.30585937668922114,0.30585937668922114
3,0.037500000000000006,break_time_reversal,48,0.03,0.0030000000000000005,0.005625000000000001,0.0,-0.14698904076159836,0.15598318223144378,0.30297222299304216,0.30297222299304216
4,0.05,break_time_reversal,48,0.03,0.004,0.0075,0.0,-0.1440720997648317,0.15605821445448048,0.3001303142193122,0.3001303142193122
5,0.0625,break_time_reversal,48,0.03,0.005,0.009375,0.0,-0.1411804359516813,0.15615332020835382,0.2973337561600351,0.2973337561600351
6,0.07500000000000001,break_time_reversal,48,0.03,0.006000000000000001,0.011250000000000001,0.0,-0.13831476569488346,0.1562679182668602,0.2945826839617437,0.2945826839617437
7,0.08750000000000001,break_time_reversal,48,0.03,0.007000000000000001,0.013125000000000001,0.0,-0.135475818540931,0.15640144292757083,0.2918772614685018,0.2918772614685018
8,0.1,break_time_reversal,48,0.03,0.008,0.015,0.0,-0.13266433650230183,0.156553343913281,0.2892176804155828,0.2892176804155828
9,0.1125,break_time_reversal,48,0.03,0.009000000000000001,0.016875,0.0,-0.12988107323704762,0.1567230862350709,0.2866041594721185,0.2866041594721185
10,0.125,break_time_reversal,48,0.03,0.01,0.01875,0.0,-0.1271267931094064,0.15691015002156208,0.2840369431309685,0.2840369431309685
11,0.1375,break_time_reversal,48,0.03,0.011000000000000001,0.020625,0.0,-0.12440227012550373,0.157114030318634,0.2815163004441378,0.2815163004441377
12,0.15000000000000002,break_time_reversal,48,0.03,0.012000000000000002,0.022500000000000003,0.0,-0.12170828673875009,0.1573342368635492,0.2790425236022993,0.2790425236022993
13,0.1625,break_time_reversal,48,0.03,0.013000000000000001,0.024375,0.0,-0.11904563252023939,0.15757029383712778,0.2766159263573672,0.2766159263573672
14,0.17500000000000002,break_time_reversal,48,0.03,0.014000000000000002,0.026250000000000002,0.0,-0.1164151026903143,0.1578217395973162,0.27423684228763057,0.2742368422876305
15,0.1875,break_time_reversal,48,0.03,0.015,0.028124999999999997,0.0,-0.1138174965085041,0.1580881263972079,0.271905622905712,0.271905622905712
16,0.2,break_time_reversal,48,0.03,0.016,0.03,0.0,-0.11125361552026042,0.1583690200903036,0.269622635610564,0.269622635610564
17,0.21250000000000002,break_time_reversal,48,0.03,0.017,0.031875,0.0,-0.10872426166032292,0.15866399982553908,0.26738826148586203,0.26738826148586203
18,0.225,break_time_reversal,48,0.03,0.018000000000000002,0.03375,0.0,-0.1062302352141406,0.158972657734369,0.2652028929485096,0.2652028929485096
19,0.23750000000000002,break_time_reversal,48,0.03,0.019000000000000003,0.035625000000000004,0.0,-0.10377233264054743,0.1592945986119631,0.2630669312525106,0.2630669312525105
20,0.25,break_time_reversal,48,0.03,0.02,0.0375,0.0,-0.10135134426083368,0.1596294395943624,0.2609807838551961,0.2609807838551961
21,0.2625,break_time_reversal,48,0.03,0.021,0.039375,0.0,-0.09896805182144958,0.159976809833242,0.25894486165469155,0.25894486165469155
22,0.275,break_time_reversal,48,0.03,0.022000000000000002,0.04125,0.0,-0.09662322593980151,0.1603363501697473,0.25695957610954884,0.2569595761095488
23,0.28750000000000003,break_time_reversal,48,0.03,0.023000000000000003,0.043125000000000004,0.0,-0.09431762344492019,0.16070771280869697,0.25502533625361723,0.2550253362536172
24,0.30000000000000004,break_time_reversal,48,0.03,0.024000000000000004,0.045000000000000005,0.0,-0.09205198462715701,0.16109056099429603,0.25314254562145305,0.25314254562145305
25,0.3125,break_time_reversal,48,0.03,0.025,0.046875,0.0,-0.08982703041345953,0.16148456868835315,0.2513115991018127,0.25131159910181267
26,0.325,break_time_reversal,48,0.03,0.026000000000000002,0.04875,0.0,-0.0876434594871226,0.16188942025187267,0.24953287973899527,0.24953287973899527
27,0.3375,break_time_reversal,48,0.03,0.027000000000000003,0.050625,0.0,-0.0855019453731682,0.1623048101307687,0.24780675550393694,0.24780675550393688
28,0.35000000000000003,break_time_reversal,48,0.03,0.028000000000000004,0.052500000000000005,0.0,-0.08340313351260101,0.16273044254634125,0.24613357605894226,0.24613357605894226
29,0.36250000000000004,break_time_reversal,48,0.03,0.029000000000000005,0.05437500000000001,0.0,-0.08134763835065384,0.1631660311910603,0.24451366954171416,0.24451366954171413
30,0.375,break_time_reversal,48,0.03,0.03,0.056249999999999994,0.0,-0.07933604046571559,0.16361129893011053,0.2429473393958262,0.24294733939582613
31,0.3875,break_time_reversal,48,0.03,0.031000000000000003,0.058124999999999996,0.0,-0.07736888376686238,0.16406597750907315,0.24143486127593553,0.24143486127593553
32,0.4,break_time_reversal,48,0.03,0.032,0.06,0.0,-0.07544667278871824,0.16452980726805158,0.2399764800567698,0.2399764800567698
33,0.41250000000000003,break_time_reversal,48,0.03,0.033,0.061875,0.0,-0.07356987011271798,0.16437169012067768,0.23857240697519594,0.23794156023339566
34,0.42500000000000004,break_time_reversal,48,0.03,0.034,0.06375,0.0,-0.07173889394367894,0.16355770351766474,0.237222816934469,0.23529659746134368
35,0.4375,break_time_reversal,48,0.03,0.035,0.065625,0.0,-0.06914993810867083,0.16276380850865996,0.23592784599898747,0.23191374661733077
36,0.45,break_time_reversal,48,0.03,0.036000000000000004,0.0675,0.0,-0.0653862725116614,0.161989944994278,0.23468758910658163,0.2273762175059394
37,0.4625,break_time_reversal,48,0.03,0.037000000000000005,0.069375,0.0,-0.06162790844829636,0.16123605119144743,0.2335020980234968,0.22286395963974379
38,0.47500000000000003,break_time_reversal,48,0.03,0.038000000000000006,0.07125000000000001,0.0,-0.05787515941921444,0.16050206356670285,0.22919272758158588,0.2183772229859173
39,0.48750000000000004,break_time_reversal,48,0.03,0.03900000000000001,0.07312500000000001,0.0,-0.05412836330487512,0.15978791676634063,0.2246841365842157,0.21391628007121574
40,0.5,break_time_reversal,48,0.03,0.04,0.075,0.0,-0.050387884688622056,0.15909354354386235,0.22018815184376472,0.2094814282324844
41,0.5125000000000001,break_time_reversal,48,0.03,0.04100000000000001,0.07687500000000001,0.0,-0.046654117437755584,0.1584188746851357,0.2157055598681196,0.2050729921228913
42,0.525,break_time_reversal,48,0.03,0.042,0.07875,0.0,-0.04292748757460836,0.1577638389317325,0.21123721142700386,0.20069132650634086
43,0.5375,break_time_reversal,48,0.03,0.043,0.08062499999999999,0.0,-0.039208456473827966,0.15712836290292007,0.20678402794364215,0.19633681937674802
44,0.55,break_time_reversal,48,0.03,0.044000000000000004,0.0825,0.0,-0.03549752442684685,0.15651237101678842,0.20234700862060928,0.19200989544363528
45,0.5625,break_time_reversal,48,0.03,0.045,0.08437499999999999,0.0,-0.031795234619877814,0.15591578541102072,0.19792723839251933,0.18771102003089854
46,0.5750000000000001,break_time_reversal,48,0.03,0.046000000000000006,0.08625000000000001,0.0,-0.0281021775778036,0.15533852586381489,0.19352589681028148,0.18344070344161847
47,0.5875,break_time_reversal,48,0.03,0.047,0.088125,0.0,-0.02441899613305472,0.15478050971547494,0.18914426797508777,0.17919950584852967
48,0.6000000000000001,break_time_reversal,48,0.03,0.04800000000000001,0.09000000000000001,0.0,-0.0207463909860331,0.1542416517911954,0.1847837516552288,0.1749880427772285
49,0.6125,break_time_reversal,48,0.03,0.049,0.091875,0.0,-0.017085126931854627,0.15372186432556464,0.1804458757352618,0.17080699125741927
50,0.625,break_time_reversal,48,0.03,0.05,0.09375,0.0,-0.013436039837111615,0.15322105688930565,0.17613231016490713,0.16665709672641726
51,0.6375000000000001,break_time_reversal,48,0.03,0.051000000000000004,0.095625,0.0,-0.009800044459936881,0.15273913631877664,0.171844882594209,0.16253918077871352
52,0.65,break_time_reversal,48,0.03,0.052000000000000005,0.0975,0.0,-0.0061781432166739345,0.15227600664873886,0.1675855959015441,0.15845414986541279
53,0.6625000000000001,break_time_reversal,48,0.03,0.053000000000000005,0.099375,0.0,-0.0025714360086826096,0.15183156904889014,0.16335664784149556,0.15440300505757276
54,0.675,break_time_reversal,48,0.03,0.054000000000000006,0.10125,0.0,0.0010188687673117203,0.15140572176465,0.15916045305938203,0.15038685299733828
55,0.6875,break_time_reversal,48,0.03,0.055,0.103125,0.0,0.00459144189304992,0.15099836006266315,0.15499966773694565,0.14640691816961324
56,0.7000000000000001,break_time_reversal,48,0.03,0.05600000000000001,0.10500000000000001,0.0,0.008144819547769503,0.15060937618146467,0.15087721714712288,0.14246455663369517
57,0.7125,break_time_reversal,48,0.03,0.057,0.106875,0.0,0.011677387930462756,0.15023865928773472,0.1467963264017903,0.13856127135727198
58,0.7250000000000001,break_time_reversal,48,0.03,0.05800000000000001,0.10875000000000001,0.0,0.015187366146381847,0.14988609543853318,0.14276055467039345,0.13469872929215132
59,0.7375,break_time_reversal,48,0.03,0.059000000000000004,0.110625,0.0,0.018672787230931458,0.14955156754988475,0.1387738331231162,0.13087878031895328
60,0.75,break_time_reversal,48,0.03,0.06,0.11249999999999999,0.0,0.022131477209657725,0.14923495537204629,0.13484050680110973,0.12710347816238857
61,0.7625000000000001,break_time_reversal,48,0.03,0.061000000000000006,0.114375,0.0,0.025561032137870136,0.14892258014882917,0.1309653805266279,0.12336154801095903
62,0.775,break_time_reversal,48,0.03,0.062000000000000006,0.11624999999999999,0.0,0.028958793135199883,0.14857517414056112,0.12715376882238766,0.11961638100536123
63,0.7875000000000001,break_time_reversal,48,0.03,0.06300000000000001,0.11812500000000001,0.0,0.03232181953900854,0.14825903479988067,0.12341154959222689,0.11593721526087214
64,0.8,break_time_reversal,48,0.03,0.064,0.12,0.0,0.035646860458400785,0.14797523066748672,0.11974522099945323,0.11232837020908593
65,0.8125,break_time_reversal,48,0.03,0.065,0.121875,0.0,0.03893032523258741,0.14772484281700238,0.11616196053527772,0.10879451758441497
66,0.8250000000000001,break_time_reversal,48,0.03,0.066,0.12375,0.0,0.04216825360044955,0.14750896017995518,0.11266968466349786,0.10534070657950564
