width_chains,matrix_dimension,finite_width_half_gap_over_t,central_min_edge_weight,hermiticity_residual
20,80,0.0019277654523304213,0.5904961217819064,0.0
32,128,0.0010960196330351206,0.5531217185287617,0.0
44,176,0.0005231853670551245,0.5489798968056987,0.0
