flux_over_h_over_e,angular_level,right_down_energy_over_half_gap,left_up_energy_over_half_gap
0.3,-7,-2.1048670779051615,2.1048670779051615
0.3,-6,-1.7907078125461822,1.7907078125461822
0.3,-5,-1.4765485471872029,1.4765485471872029
0.3,-4,-1.1623892818282235,1.1623892818282235
0.3,-3,-0.8482300164692442,0.8482300164692442
0.3,-2,-0.5340707511102648,0.5340707511102648
0.3,-1,-0.2199114857512855,0.2199114857512855
0.3,0,0.09424777960769379,-0.09424777960769379
0.3,1,0.4084070449666731,-0.4084070449666731
0.3,2,0.7225663103256523,-0.7225663103256523
0.3,3,1.0367255756846316,-1.0367255756846316
0.3,4,1.350884841043611,-1.350884841043611
0.3,5,1.6650441064025903,-1.6650441064025903
0.3,6,1.9792033717615696,-1.9792033717615696
0.3,7,2.293362637120549,-2.293362637120549
0.3,8,2.6075219024795286,-2.6075219024795286
0.31,-8,-2.415884750610551,2.415884750610551
0.31,-7,-2.101725485251572,2.101725485251572
0.31,-6,-1.7875662198925923,1.7875662198925923
0.31,-5,-1.473406954533613,1.473406954533613
0.31,-4,-1.1592476891746337,1.1592476891746337
0.31,-3,-0.8450884238156543,0.8450884238156543
0.31,-2,-0.530929158456675,0.530929158456675
0.31,-1,-0.2167698930976957,0.2167698930976957
0.31,0,0.09738937226128358,-0.09738937226128358
0.31,1,0.4115486376202629,-0.4115486376202629
0.31,2,0.7257079029792423,-0.7257079029792423
0.31,3,1.0398671683382215,-1.0398671683382215
0.31,4,1.3540264336972008,-1.3540264336972008
0.31,5,1.66818569905618,-1.66818569905618
0.31,6,1.9823449644151594,-1.9823449644151594
0.31,7,2.2965042297741385,-2.2965042297741385
0.31,8,2.6106634951331182,-2.6106634951331182
0.32,-8,-2.412743157956961,2.412743157956961
0.32,-7,-2.098583892597982,2.098583892597982
0.32,-6,-1.7844246272390023,1.7844246272390023
