target_id,vp_recoil,averaging,v_imbalance_recoil,v_edge_recoil,intermediate_width_recoil,threshold,parameter_match
T004,3.0,central,0.0,,,0.015,paper_scale_method_match
T004,3.0,tube_proxy,0.0,,,0.015,paper_scale_method_proxy
T004,4.0,central,0.0,,,0.015,paper_scale_method_match
T004,4.0,tube_proxy,0.0,,,0.015,paper_scale_method_proxy
T004,5.0,central,0.0,,,0.015,paper_scale_method_match
T004,5.0,tube_proxy,0.0,,,0.015,paper_scale_method_proxy
T004,6.0,central,0.0,,,0.015,paper_scale_method_match
T004,6.0,tube_proxy,0.0,,,0.015,paper_scale_method_proxy
T004,7.0,central,0.0,,,0.015,paper_scale_method_match
T004,7.0,tube_proxy,0.0,,,0.015,paper_scale_method_proxy
T004,8.0,central,0.0,,,0.015,paper_scale_method_match
T004,8.0,tube_proxy,0.0,,,0.015,paper_scale_method_proxy
