N,n,exact_fd,exact_imag,coarse_fd,wkb
3.0,0,1.156266121307632,-9.544363901082205e-13,1.1562649335508919,1.0942695005326157
3.0,1,4.109222252673714,-3.871481335282281e-12,4.109214131551518,4.089496119273295
3.0,2,7.562254491027705,1.2075659740008452e-12,7.5622302981151055,7.5489804375859935
3.0,3,11.314380165113315,4.032400637181934e-11,11.314328122051,11.304254923062569
3.0,4,15.29148042530436,-6.140249970460666e-10,15.291388816020405,15.283235529649003
4.0,0,1.477148922804493,2.4861172737541537e-12,1.4771478848695168,1.3765074034713132
4.0,1,6.003376192964836,-7.011053064848459e-12,6.003363836262164,5.955801633544403
4.0,2,11.802427076326328,-1.5323108773982543e-11,11.802418932209301,11.7689727517917
4.0,3,18.458668471675114,-6.1634082183066466e-09,18.458480962859262,18.43214754792131
