epsilon,N,exact_shooting,patch_residual,secondary_boundary_energy,finite_difference_energy,finite_difference_imag,asymptotic_eq11
0.1,1.1,1.6836939715693362,1.6314532190475628e-16,1.6836939715697026,1.683691750115665,3.994481869236373e-14,2.095550702263441
0.01,1.01,2.6797499439630865,-5.464921050413185e-16,2.679749943961138,2.6797458811246844,-1.7000482369213472e-11,2.962413004794263
0.001,1.001,3.4947544794904317,7.39425881635114e-16,3.4947544795374603,3.4947476195516156,-5.901895726694703e-11,3.6723148093674576
0.0001,1.0001,4.175337542131435,2.3722343533982837e-16,4.175337542339318,4.175327629670384,2.1069744162918768e-09,4.301324627468889
1e-05,1.00001,4.779578922239999,3.469446951953614e-17,4.779578913521291,4.779565835244002,-4.5779095983413985e-09,4.877690749634615
1e-06,1.000001,5.33516396859943,-4.206704429243757e-17,5.335163958129373,5.335147662101181,1.1758475947627307e-08,5.41585735818008
1e-07,1.0000001,5.855855063600185,3.48245737802344e-16,5.855855079413555,5.855836861090289,-1.1101370766827351e-09,5.9244685646561575
