code_id,group_order,d_rep,qubits,x_checks,z_checks,logical_qubits,generated_data_provenance
mitten-150,30,5,1950,960,960,30,analytic_reference
mitten-150,30,7,3510,1740,1740,30,analytic_reference
mitten-150,30,9,5550,2760,2760,30,analytic_reference
mitten-150,30,11,8070,4020,4020,30,analytic_reference
mitten-200,40,5,2600,1280,1280,40,analytic_reference
mitten-200,40,7,4680,2320,2320,40,analytic_reference
mitten-200,40,9,7400,3680,3680,40,analytic_reference
mitten-200,40,11,10760,5360,5360,40,analytic_reference
mitten-300,60,5,3900,1920,1920,60,analytic_reference
mitten-300,60,7,7020,3480,3480,60,analytic_reference
mitten-300,60,9,11100,5520,5520,60,analytic_reference
mitten-300,60,11,16140,8040,8040,60,analytic_reference
mitten-500,100,5,6500,3200,3200,100,analytic_reference
mitten-500,100,7,11700,5800,5800,100,analytic_reference
mitten-500,100,9,18500,9200,9200,100,analytic_reference
mitten-500,100,11,26900,13400,13400,100,analytic_reference
mitten-540,108,5,7020,3456,3456,108,analytic_reference
mitten-540,108,7,12636,6264,6264,108,analytic_reference
mitten-540,108,9,19980,9936,9936,108,analytic_reference
mitten-540,108,11,29052,14472,14472,108,analytic_reference
mitten-630,126,5,8190,4032,4032,126,analytic_reference
mitten-630,126,7,14742,7308,7308,126,analytic_reference
mitten-630,126,9,23310,11592,11592,126,analytic_reference
mitten-630,126,11,33894,16884,16884,126,analytic_reference
mitten-780,156,5,10140,4992,4992,156,analytic_reference
mitten-780,156,7,18252,9048,9048,156,analytic_reference
mitten-780,156,9,28860,14352,14352,156,analytic_reference
mitten-780,156,11,41964,20904,20904,156,analytic_reference
mitten-975,195,5,12675,6240,6240,195,analytic_reference
mitten-975,195,7,22815,11310,11310,195,analytic_reference
mitten-975,195,9,36075,17940,17940,195,analytic_reference
mitten-975,195,11,52455,26130,26130,195,analytic_reference
