device,signal_wavelength_nm,idler_wavelength_nm,signal_reflectivity,idler_reflectivity,pair_weight,integrated_visibility,provenance
fiber,1500.0,1629.346314325452,0.6990000000000001,0.1589791376912374,2.716342850882833e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1500.2,1629.110400444939,0.6981649999999999,0.1599640781423799,2.8265978744612695e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1500.4,1628.874617737003,0.6973299999999997,0.16094847094801212,2.940895584723622e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1500.6,1628.6389660922737,0.6964950000000004,0.16193231656475737,3.059365589058041e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1500.8,1628.4034454015004,0.6956600000000003,0.16291561544873556,3.182140899202651e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1501.0,1628.1680555555556,0.694825,0.1638983680555553,3.309357992217288e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1501.2,1627.9327964454317,0.6939899999999999,0.1648805748403227,3.441156871497623e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1501.4,1627.6976679622433,0.6931549999999997,0.16586223625763435,3.5776811277816015e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1501.6,1627.4626699972248,0.6923200000000005,0.1668433527615864,3.719078000103785e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1501.8,1627.2278024417315,0.6914850000000002,0.16782392480577113,3.865498436644979e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1502.0,1626.9930651872403,0.6906500000000001,0.16880395284327177,4.017097155426403e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1502.2,1626.7584581253468,0.6898149999999998,0.169783437326677,4.174032704798529e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1502.4,1626.5239811477684,0.6889799999999997,0.17076237870806693,4.336467523663456e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1502.6,1626.2896341463415,0.6881450000000005,0.171740777439024,4.504568001381159e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1502.8,1626.055417013023,0.6873100000000003,0.17271863397062853,4.678504537296123e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1503.0,1625.8213296398894,0.6864750000000001,0.17369594875346162,4.858451599827026e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1503.2,1625.587371919136,0.6856399999999998,0.17467272223760671,5.044587785057272e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1503.4,1625.3535437430785,0.6848049999999997,0.17564895487264726,5.237095874761683e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1503.6,1625.119845004152,0.6839700000000004,0.1766246471076653,5.4361628938053835e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1503.8,1624.886275594909,0.6831350000000003,0.17759979939125503,5.641980166850224e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1504.0,1624.6528354080222,0.6823000000000001,0.1785744121715075,5.8547433742925705e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1504.2,1624.4195243362833,0.6814649999999999,0.17954848589601713,6.07465260737111e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1504.4,1624.1863422726017,0.6806299999999996,0.18052202101188797,6.30191242236846e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1504.6,1623.953289110006,0.6797950000000004,0.1814950179657252,6.536731893830993e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1504.8,1623.7203647416416,0.6789600000000002,0.18246747720364642,6.779324666737273e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1505.0,1623.4875690607737,0.6781250000000001,0.18343939917126978,7.02990900753027e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1505.2,1623.2549019607843,0.67729,0.18441078431372543,7.288707853944217e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1505.4,1623.022363335174,0.6764549999999997,0.1853816330756482,7.55594886353724e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1505.6,1622.7899530775603,0.6756200000000004,0.18635194590118564,7.831864460855568e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1505.8,1622.5576710816779,0.6747850000000002,0.18732172323399482,8.116691883140559e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1506.0,1622.3255172413794,0.67395,0.18829096551724084,8.410673224496167e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1506.2,1622.0934914506345,0.6731149999999999,0.18925967319360104,8.714055478432872e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1506.4,1621.861593603529,0.6722799999999997,0.1902278467052666,9.027090578698119e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1506.6,1621.629823594267,0.6714450000000005,0.1911954864939352,9.350035438302902e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1506.8,1621.3981813171674,0.6706100000000003,0.19216259300082594,9.683151986663319e-05,0.969597211534339,printed_endpoint_reconstruction
fiber,1507.0,1621.1666666666667,0.669775,0.1931291666666663,0.00010026707204751264,0.969597211534339,printed_endpoint_reconstruction
fiber,1507.2,1620.9352795373177,0.6689399999999999,0.1940952079316986,0.00010380973158176168,0.969597211534339,printed_endpoint_reconstruction
fiber,1507.4,1620.7040198237887,0.6681049999999997,0.19506071723568208,0.00010746227028096714,0.969597211534339,printed_endpoint_reconstruction
fiber,1507.6,1620.4728874208645,0.6672700000000005,0.19602569501789074,0.00011122751139868288,0.969597211534339,printed_endpoint_reconstruction
fiber,1507.8,1620.2418822234454,0.6664350000000002,0.19699014171711549,0.00011510832989333423,0.969597211534339,printed_endpoint_reconstruction
fiber,1508.0,1620.0110041265475,0.6656000000000001,0.19795405777166414,0.00011910765266655414,0.969597211534339,printed_endpoint_reconstruction
fiber,1508.2,1619.7802530253025,0.6647649999999998,0.19891744361936203,0.00012322845877600763,0.969597211534339,printed_endpoint_reconstruction
fiber,1508.4,1619.5496288149573,0.6639299999999997,0.1998802996975534,0.00012747377962170147,0.969597211534339,printed_endpoint_reconstruction
fiber,1508.6,1619.3191313908744,0.6630950000000004,0.20084262644309925,0.00013184669910478906,0.969597211534339,printed_endpoint_reconstruction
fiber,1508.8,1619.08876064853,0.6622600000000003,0.20180442429238693,0.00013635035375792766,0.969597211534339,printed_endpoint_reconstruction
fiber,1509.0,1618.8585164835167,0.661425,0.20276569368131764,0.00014098793284605336,0.969597211534339,printed_endpoint_reconstruction
fiber,1509.2,1618.6283987915408,0.6605899999999999,0.20372643504531707,0.00014576267843674986,0.969597211534339,printed_endpoint_reconstruction
