delay_fs,coincidence_hz
-300.0,500.0
-298.0,500.0
-296.0,500.0
-294.0,500.0
-292.0,500.0
-290.0,500.0
-288.0,500.0
-286.0,500.0
-284.0,500.0
-282.0,500.0
-280.0,500.0
-278.0,500.0
-276.0,500.0
-274.0,500.0
-272.0,500.0
-270.0,500.0
-268.0,500.0
-266.0,500.0
-264.0,500.0
-262.0,499.99999999999994
-260.0,499.99999999999994
-258.0,499.9999999999999
-256.0,499.9999999999998
-254.0,499.9999999999996
-252.0,499.9999999999993
-250.0,499.9999999999988
-248.0,499.99999999999807
-246.0,499.99999999999665
-244.0,499.9999999999943
-242.0,499.9999999999905
-240.0,499.9999999999841
-238.0,499.99999999997334
-236.0,499.9999999999557
-234.0,499.9999999999267
-232.0,499.99999999987915
-230.0,499.9999999998016
-228.0,499.99999999967577
-226.0,499.9999999994724
-224.0,499.999999999145
-222.0,499.99999999862047
-220.0,499.99999999778373
-218.0,499.99999999645456
-216.0,499.9999999943526
-214.0,499.99999999104307
-212.0,499.9999999858547
-210.0,499.9999999777567
-208.0,499.99999996517255
-206.0,499.99999994570226
-204.0,499.9999999157095
-202.0,499.99999986970977
-200.0,499.9999997994689
-198.0,499.9999996926818
-196.0,499.9999995310447
-194.0,499.9999992874568
-192.0,499.99999892197803
-190.0,499.99999837602024
-188.0,499.99999756403946
-186.0,499.99999636171685
-184.0,499.9999945892264
-182.0,499.99999198766966
-180.0,499.99998818605496
-178.0,499.9999826552652
-176.0,499.99997464421864
-174.0,499.9999630917927
-172.0,499.9999465059448
-170.0,499.9999227986829
-168.0,499.9998890619532
-166.0,499.99984126491137
-164.0,499.9997738471944
-162.0,499.99967917541676
-160.0,499.9995468208554
-158.0,499.9993626047693
-156.0,499.9991073436033
-154.0,499.99875520896734
-152.0,499.9982715962563
-150.0,499.99761037054253
-148.0,499.9967103283972
-146.0,499.9954906790604
-144.0,499.993845307435
-142.0,499.9916355343902
-140.0,499.98868103666103
-138.0,499.9847485293141
-136.0,499.97953774874384
-134.0,499.9726642043329
-132.0,499.96363809368097
-130.0,499.951838701751
-128.0,499.93648353129413
-126.0,499.9165913442489
-124.0,499.89093823625524
-122.0,499.8580058248189
-120.0,499.8159206129608
-118.0,499.7623836024257
-116.0,499.69458928273275
-114.0,499.60913322436807
-112.0,499.5019076666321
-110.0,499.36798472356514
-108.0,499.2014871451257
-106.0,498.9954469744841
-104.0,498.74165294321
-102.0,498.4304880488908
-100.0,498.05075946524437
-98.0,497.5895237393641
-96.0,497.0319111249033
-94.0,496.3609538676797
-92.0,495.5574242778122
-90.0,494.5996894584641
-88.0,493.4635905756518
-86.0,492.12235549825954
-84.0,490.5465544567493
-82.0,488.7041090010694
-80.0,486.56036491648337
-78.0,484.078239811923
-76.0,481.21845576161576
-74.0,477.939866594452
-72.0,474.1998881331257
-70.0,469.9550378460964
-68.0,465.16158796746026
-66.0,459.7763331627417
-64.0,453.75747029857223
-62.0,447.0655838667914
-60.0,439.6647262057825
-58.0,431.52357697316376
-56.0,422.61666150484467
-54.0,412.92560292487195
-52.0,402.44037835098055
-50.0,391.16054549164414
-48.0,379.09640257915413
-46.0,366.27004215517303
-44.0,352.71625793201554
-42.0,338.4832639805738
-40.0,323.63318699222754
-38.0,308.242295425618
-36.0,292.40093401830467
-34.0,276.21313838871606
-32.0,259.7959121729305
-30.0,243.278158156202
-28.0,226.7992649202858
-26.0,210.5073613170791
-24.0,194.55726222255754
-22.0,179.10814010516307
-20.0,164.32096751659986
-18.0,150.355785231221
-16.0,137.36885898887468
-14.0,125.50979423818643
-12.0,114.91868259375354
-10.0,105.72335564958057
-8.0,98.03682116317658
-6.0,91.95495337557314
-4.0,87.55450340895376
-2.0,84.8914874449338
0.0,84.00000000000001
2.0,84.8914874449338
4.0,87.55450340895376
6.0,91.95495337557314
8.0,98.03682116317658
10.0,105.72335564958057
12.0,114.91868259375354
14.0,125.50979423818643
16.0,137.36885898887468
18.0,150.355785231221
20.0,164.32096751659986
22.0,179.10814010516307
24.0,194.55726222255754
26.0,210.5073613170791
28.0,226.7992649202858
30.0,243.278158156202
32.0,259.7959121729305
34.0,276.21313838871606
36.0,292.40093401830467
38.0,308.242295425618
40.0,323.63318699222754
42.0,338.4832639805738
44.0,352.71625793201554
46.0,366.27004215517303
48.0,379.09640257915413
50.0,391.16054549164414
52.0,402.44037835098055
54.0,412.92560292487195
56.0,422.61666150484467
58.0,431.52357697316376
60.0,439.6647262057825
62.0,447.0655838667914
64.0,453.75747029857223
66.0,459.7763331627417
68.0,465.16158796746026
70.0,469.9550378460964
72.0,474.1998881331257
74.0,477.939866594452
76.0,481.21845576161576
78.0,484.078239811923
80.0,486.56036491648337
82.0,488.7041090010694
84.0,490.5465544567493
86.0,492.12235549825954
88.0,493.4635905756518
90.0,494.5996894584641
92.0,495.5574242778122
94.0,496.3609538676797
96.0,497.0319111249033
98.0,497.5895237393641
100.0,498.05075946524437
102.0,498.4304880488908
104.0,498.74165294321
106.0,498.9954469744841
108.0,499.2014871451257
110.0,499.36798472356514
112.0,499.5019076666321
114.0,499.60913322436807
116.0,499.69458928273275
118.0,499.7623836024257
120.0,499.8159206129608
122.0,499.8580058248189
124.0,499.89093823625524
126.0,499.9165913442489
128.0,499.93648353129413
130.0,499.951838701751
132.0,499.96363809368097
134.0,499.9726642043329
136.0,499.97953774874384
138.0,499.9847485293141
140.0,499.98868103666103
142.0,499.9916355343902
144.0,499.993845307435
146.0,499.9954906790604
148.0,499.9967103283972
150.0,499.99761037054253
152.0,499.9982715962563
154.0,499.99875520896734
156.0,499.9991073436033
158.0,499.9993626047693
160.0,499.9995468208554
162.0,499.99967917541676
164.0,499.9997738471944
166.0,499.99984126491137
168.0,499.9998890619532
170.0,499.9999227986829
172.0,499.9999465059448
174.0,499.9999630917927
176.0,499.99997464421864
178.0,499.9999826552652
180.0,499.99998818605496
182.0,499.99999198766966
184.0,499.9999945892264
186.0,499.99999636171685
188.0,499.99999756403946
190.0,499.99999837602024
192.0,499.99999892197803
194.0,499.9999992874568
196.0,499.9999995310447
198.0,499.9999996926818
200.0,499.9999997994689
202.0,499.99999986970977
204.0,499.9999999157095
206.0,499.99999994570226
208.0,499.99999996517255
210.0,499.9999999777567
212.0,499.9999999858547
214.0,499.99999999104307
216.0,499.9999999943526
218.0,499.99999999645456
220.0,499.99999999778373
222.0,499.99999999862047
224.0,499.999999999145
226.0,499.9999999994724
228.0,499.99999999967577
230.0,499.9999999998016
232.0,499.99999999987915
234.0,499.9999999999267
236.0,499.9999999999557
238.0,499.99999999997334
240.0,499.9999999999841
242.0,499.9999999999905
244.0,499.9999999999943
246.0,499.99999999999665
248.0,499.99999999999807
250.0,499.9999999999988
252.0,499.9999999999993
254.0,499.9999999999996
256.0,499.9999999999998
258.0,499.9999999999999
260.0,499.99999999999994
262.0,499.99999999999994
264.0,500.0
266.0,500.0
268.0,500.0
270.0,500.0
272.0,500.0
274.0,500.0
276.0,500.0
278.0,500.0
280.0,500.0
282.0,500.0
284.0,500.0
286.0,500.0
288.0,500.0
290.0,500.0
292.0,500.0
294.0,500.0
296.0,500.0
298.0,500.0
300.0,500.0
