model,parameter,phi_rad,bunched_probability,split_probability
balance,0.0,-3.141592653589793,0.49999999999999956,0.4999999999999996
balance,0.0,-3.12413936106985,0.49999999999999967,0.4999999999999996
balance,0.0,-3.1066860685499065,0.49999999999999944,0.49999999999999944
balance,0.0,-3.0892327760299634,0.49999999999999956,0.4999999999999996
balance,0.0,-3.07177948351002,0.49999999999999944,0.4999999999999998
balance,0.0,-3.0543261909900767,0.49999999999999944,0.49999999999999944
balance,0.0,-3.036872898470133,0.49999999999999944,0.4999999999999996
balance,0.0,-3.01941960595019,0.49999999999999944,0.49999999999999944
balance,0.0,-3.0019663134302466,0.49999999999999944,0.4999999999999996
balance,0.0,-2.9845130209103035,0.49999999999999944,0.4999999999999996
balance,0.0,-2.9670597283903604,0.49999999999999944,0.4999999999999996
balance,0.0,-2.949606435870417,0.49999999999999956,0.4999999999999996
balance,0.0,-2.9321531433504737,0.49999999999999933,0.49999999999999944
balance,0.0,-2.91469985083053,0.4999999999999996,0.49999999999999944
balance,0.0,-2.897246558310587,0.4999999999999996,0.4999999999999998
balance,0.0,-2.8797932657906435,0.4999999999999995,0.4999999999999998
balance,0.0,-2.8623399732707004,0.49999999999999944,0.49999999999999944
balance,0.0,-2.844886680750757,0.49999999999999956,0.49999999999999944
balance,0.0,-2.827433388230814,0.4999999999999997,0.4999999999999996
balance,0.0,-2.8099800957108707,0.4999999999999996,0.4999999999999996
balance,0.0,-2.792526803190927,0.4999999999999995,0.4999999999999996
balance,0.0,-2.775073510670984,0.49999999999999956,0.4999999999999996
balance,0.0,-2.7576202181510405,0.4999999999999996,0.4999999999999996
balance,0.0,-2.7401669256310974,0.4999999999999996,0.4999999999999998
balance,0.0,-2.722713633111154,0.49999999999999956,0.49999999999999944
balance,0.0,-2.705260340591211,0.4999999999999995,0.4999999999999998
balance,0.0,-2.6878070480712672,0.4999999999999996,0.4999999999999996
balance,0.0,-2.670353755551324,0.49999999999999956,0.4999999999999996
balance,0.0,-2.652900463031381,0.49999999999999967,0.4999999999999996
balance,0.0,-2.6354471705114375,0.4999999999999995,0.4999999999999996
balance,0.0,-2.6179938779914944,0.49999999999999956,0.4999999999999998
balance,0.0,-2.600540585471551,0.4999999999999996,0.4999999999999996
balance,0.0,-2.5830872929516078,0.4999999999999997,0.4999999999999998
balance,0.0,-2.5656340004316642,0.4999999999999996,0.4999999999999996
balance,0.0,-2.548180707911721,0.49999999999999967,0.4999999999999998
balance,0.0,-2.5307274153917776,0.49999999999999944,0.49999999999999944
balance,0.0,-2.5132741228718345,0.49999999999999956,0.4999999999999998
balance,0.0,-2.4958208303518914,0.49999999999999956,0.4999999999999996
balance,0.0,-2.478367537831948,0.49999999999999956,0.4999999999999996
balance,0.0,-2.4609142453120048,0.49999999999999944,0.4999999999999996
balance,0.0,-2.443460952792061,0.49999999999999956,0.4999999999999996
balance,0.0,-2.426007660272118,0.49999999999999956,0.4999999999999996
balance,0.0,-2.4085543677521746,0.49999999999999967,0.4999999999999998
balance,0.0,-2.3911010752322315,0.49999999999999956,0.49999999999999944
balance,0.0,-2.373647782712288,0.49999999999999967,0.4999999999999996
balance,0.0,-2.356194490192345,0.49999999999999956,0.4999999999999996
balance,0.0,-2.3387411976724017,0.49999999999999967,0.4999999999999996
balance,0.0,-2.321287905152458,0.49999999999999944,0.49999999999999944
balance,0.0,-2.3038346126325147,0.49999999999999956,0.4999999999999998
balance,0.0,-2.2863813201125716,0.49999999999999944,0.49999999999999944
balance,0.0,-2.2689280275926285,0.49999999999999944,0.49999999999999944
balance,0.0,-2.251474735072685,0.49999999999999944,0.4999999999999996
balance,0.0,-2.234021442552742,0.49999999999999944,0.49999999999999944
balance,0.0,-2.2165681500327983,0.49999999999999944,0.4999999999999996
balance,0.0,-2.199114857512855,0.49999999999999944,0.4999999999999996
balance,0.0,-2.181661564992912,0.49999999999999944,0.4999999999999996
balance,0.0,-2.1642082724729685,0.49999999999999956,0.4999999999999996
balance,0.0,-2.146754979953025,0.49999999999999944,0.49999999999999944
balance,0.0,-2.129301687433082,0.49999999999999944,0.49999999999999944
balance,0.0,-2.111848394913139,0.4999999999999995,0.4999999999999996
balance,0.0,-2.0943951023931957,0.4999999999999995,0.49999999999999944
balance,0.0,-2.076941809873252,0.4999999999999995,0.4999999999999996
balance,0.0,-2.0594885173533086,0.49999999999999967,0.4999999999999996
balance,0.0,-2.0420352248333655,0.4999999999999996,0.4999999999999996
balance,0.0,-2.0245819323134224,0.4999999999999996,0.49999999999999944
balance,0.0,-2.007128639793479,0.4999999999999995,0.49999999999999944
balance,0.0,-1.9896753472735356,0.4999999999999996,0.4999999999999996
balance,0.0,-1.9722220547535922,0.4999999999999995,0.4999999999999996
balance,0.0,-1.954768762233649,0.4999999999999996,0.4999999999999996
balance,0.0,-1.9373154697137058,0.4999999999999996,0.4999999999999996
balance,0.0,-1.9198621771937625,0.49999999999999944,0.4999999999999996
balance,0.0,-1.9024088846738192,0.4999999999999995,0.4999999999999996
balance,0.0,-1.8849555921538759,0.49999999999999956,0.4999999999999996
balance,0.0,-1.8675022996339325,0.49999999999999956,0.4999999999999998
balance,0.0,-1.8500490071139892,0.49999999999999944,0.49999999999999944
balance,0.0,-1.832595714594046,0.4999999999999997,0.4999999999999996
balance,0.0,-1.8151424220741026,0.4999999999999996,0.4999999999999996
balance,0.0,-1.7976891295541593,0.4999999999999996,0.4999999999999996
balance,0.0,-1.7802358370342162,0.49999999999999956,0.4999999999999996
balance,0.0,-1.7627825445142729,0.49999999999999967,0.4999999999999998
balance,0.0,-1.7453292519943295,0.49999999999999944,0.4999999999999996
balance,0.0,-1.7278759594743862,0.49999999999999956,0.4999999999999998
balance,0.0,-1.710422666954443,0.49999999999999944,0.4999999999999996
balance,0.0,-1.6929693744344996,0.49999999999999944,0.49999999999999944
balance,0.0,-1.6755160819145563,0.49999999999999956,0.4999999999999996
balance,0.0,-1.658062789394613,0.49999999999999956,0.4999999999999996
balance,0.0,-1.6406094968746696,0.49999999999999956,0.4999999999999996
balance,0.0,-1.6231562043547265,0.49999999999999956,0.4999999999999996
balance,0.0,-1.6057029118347832,0.49999999999999944,0.49999999999999944
balance,0.0,-1.5882496193148399,0.49999999999999967,0.4999999999999996
balance,0.0,-1.5707963267948966,0.49999999999999956,0.4999999999999996
balance,0.0,-1.5533430342749532,0.49999999999999967,0.4999999999999996
balance,0.0,-1.53588974175501,0.49999999999999944,0.49999999999999944
balance,0.0,-1.5184364492350666,0.49999999999999956,0.4999999999999996
balance,0.0,-1.5009831567151233,0.49999999999999944,0.49999999999999944
balance,0.0,-1.48352986419518,0.49999999999999944,0.49999999999999944
balance,0.0,-1.4660765716752366,0.49999999999999944,0.4999999999999996
balance,0.0,-1.4486232791552935,0.49999999999999944,0.49999999999999944
balance,0.0,-1.4311699866353502,0.49999999999999944,0.4999999999999996
balance,0.0,-1.413716694115407,0.49999999999999944,0.4999999999999996
balance,0.0,-1.3962634015954636,0.49999999999999933,0.4999999999999996
balance,0.0,-1.3788101090755203,0.49999999999999956,0.4999999999999996
balance,0.0,-1.361356816555577,0.49999999999999944,0.49999999999999944
balance,0.0,-1.3439035240356336,0.49999999999999944,0.49999999999999944
balance,0.0,-1.3264502315156903,0.49999999999999944,0.49999999999999944
balance,0.0,-1.308996938995747,0.4999999999999996,0.49999999999999944
balance,0.0,-1.2915436464758039,0.4999999999999995,0.4999999999999996
balance,0.0,-1.2740903539558606,0.49999999999999956,0.4999999999999996
balance,0.0,-1.2566370614359172,0.4999999999999996,0.4999999999999996
balance,0.0,-1.239183768915974,0.49999999999999967,0.4999999999999996
balance,0.0,-1.2217304763960306,0.4999999999999995,0.49999999999999944
balance,0.0,-1.2042771838760873,0.4999999999999996,0.4999999999999996
balance,0.0,-1.186823891356144,0.4999999999999996,0.4999999999999996
balance,0.0,-1.1693705988362006,0.4999999999999996,0.4999999999999996
balance,0.0,-1.1519173063162573,0.4999999999999995,0.4999999999999996
balance,0.0,-1.1344640137963142,0.4999999999999995,0.4999999999999998
balance,0.0,-1.1170107212763707,0.4999999999999996,0.4999999999999996
