gap_um,loss_db_per_mm
0.5,0.5222625066006061
0.55,0.3195834974501945
0.6,0.1960631335362616
0.65,0.1206084829702305
0.7,0.07439867410628884
0.75,0.04602339991502482
0.8,0.01776244852122586
0.8500000000000001,0.011082077274536122
0.9,0.0069336275027991464
0.95,0.004350157658019609
1.0,0.0027367442836670787
1.05,0.001726326771147879
1.1,0.0010917943135357732
1.15,0.0006922303815166093
1.2000000000000002,0.0004399560517205299
1.25,0.00028025623730791057
1.3,0.00017890717573221363
1.35,0.00011443017250664889
1.4,7.331313397136828e-05
1.4500000000000002,4.703314832553186e-05
1.5,1.9397144545965326e-05
1.55,1.245166558248507e-05
1.6,7.979836609454857e-06
1.6500000000000001,5.097711891738458e-06
1.7000000000000002,3.2394066008067363e-06
1.75,2.041826679557811e-06
1.8,1.271477597339855e-06
1.85,7.778764939964868e-07
1.9000000000000001,4.638257566901318e-07
1.9500000000000002,2.663969536889281e-07
2.0,1.4473576737957927e-07
2.05,7.221695454676315e-08
2.1,3.1377167191246593e-08
2.1500000000000004,1.0620447893099834e-08
2.2,0.0
2.25,0.0
2.3,0.0
2.35,0.0
2.4000000000000004,0.0
2.45,0.0
2.5,0.0
2.5500000000000003,0.0
2.6,0.0
2.65,0.0
2.7,0.0
2.75,0.0
2.8000000000000003,0.0
2.85,0.0
2.9000000000000004,0.0
2.95,0.0
3.0,0.0
