input_port,output_port,theta_rad,relative_intensity
a,a,-1.5707963267948966,0.4999999999999998
a,a,-1.5533430342749532,0.4912737967813579
a,a,-1.53588974175501,0.4825502516487493
a,a,-1.5184364492350666,0.47383202187852785
a,a,-1.5009831567151233,0.4651217631279372
a,a,-1.4835298641951802,0.45642212862617076
a,a,-1.4660765716752369,0.4477357683661731
a,a,-1.4486232791552935,0.439065328297426
a,a,-1.4311699866353502,0.43041344951996713
a,a,-1.413716694115407,0.4217827674798844
a,a,-1.3962634015954636,0.41317591116653474
a,a,-1.3788101090755203,0.4045955023117275
a,a,-1.361356816555577,0.39604415459112013
a,a,-1.3439035240356336,0.38752447282806735
a,a,-1.3264502315156905,0.37903905220016604
a,a,-1.3089969389957472,0.3705904774487395
a,a,-1.2915436464758039,0.3621813220915003
a,a,-1.2740903539558606,0.35381414763863145
a,a,-1.2566370614359172,0.34549150281252616
a,a,-1.239183768915974,0.33721592277142143
a,a,-1.2217304763960306,0.32898992833716545
a,a,-1.2042771838760873,0.32081602522734975
a,a,-1.186823891356144,0.3126967032920438
a,a,-1.1693705988362009,0.3046344357553631
a,a,-1.1519173063162573,0.29663167846209965
a,a,-1.1344640137963142,0.2886908691296501
a,a,-1.117010721276371,0.28081442660546113
a,a,-1.0995574287564276,0.2730047501302265
a,a,-1.0821041362364843,0.26526421860705446
a,a,-1.064650843716541,0.2575951898768313
a,a,-1.0471975511965979,0.25
a,a,-1.0297442586766543,0.24248096254497278
a,a,-1.0122909661567112,0.23504036788339744
a,a,-0.9948376736367678,0.2276804824924863
a,a,-0.9773843811168245,0.22040354826462652
a,a,-0.9599310885968813,0.2132117818244769
a,a,-0.9424777960769379,0.2061073738537634
a,a,-0.9250245035569946,0.19909248842397573
a,a,-0.9075712110370513,0.19216926233717074
a,a,-0.8901179185171081,0.18533980447508128
a,a,-0.8726646259971648,0.17860619515673024
a,a,-0.8552113334772214,0.17197048550474625
a,a,-0.8377580409572781,0.1654346968205708
a,a,-0.8203047484373348,0.15900081996875062
a,a,-0.8028514559173916,0.15267081477050132
a,a,-0.7853981633974483,0.14644660940672613
a,a,-0.767944870877505,0.1403300998306744
a,a,-0.7504915783575616,0.13432314919041466
a,a,-0.7330382858376183,0.1284275872613028
a,a,-0.7155849933176751,0.12264520988861398
a,a,-0.6981317007977318,0.1169777784405109
a,a,-0.6806784082777885,0.11142701927151447
a,a,-0.6632251157578452,0.10599462319663894
a,a,-0.6457718232379019,0.10068224497635352
a,a,-0.6283185307179586,0.09549150281252623
a,a,-0.6108652381980153,0.09042397785550403
a,a,-0.593411945678072,0.08548121372247912
a,a,-0.5759586531581287,0.0806647160272879
a,a,-0.5585053606381853,0.07597595192178694
a,a,-0.541052068118242,0.07141634964894378
a,a,-0.5235987755982989,0.06698729810778063
a,a,-0.5061454830783556,0.06269014643030209
a,a,-0.4886921905584123,0.058526203570536506
a,a,-0.47123889803846897,0.054496737905816044
a,a,-0.45378560551852565,0.05060297685041645
a,a,-0.43633231299858233,0.04684610648167498
a,a,-0.418879020478639,0.04322727117869951
a,a,-0.4014257279586957,0.0397475732737798
a,a,-0.38397243543875237,0.03640807271660627
a,a,-0.36651914291880927,0.03320978675139913
a,a,-0.34906585039886595,0.030153689607045803
a,a,-0.33161255787892263,0.027240712200341587
a,a,-0.3141592653589793,0.024471741852423196
a,a,-0.296705972839036,0.021847622018482248
a,a,-0.27925268031909267,0.019369152030840553
a,a,-0.26179938779914935,0.017037086855465837
a,a,-0.24434609527920603,0.014852136862001746
a,a,-0.2268928027592627,0.012814967607382363
a,a,-0.20943951023931962,0.010926199633097183
a,a,-0.1919862177193763,0.00918640827616802
a,a,-0.17453292519943298,0.007596123493895969
a,a,-0.15707963267948966,0.006155829702431132
a,a,-0.13962634015954634,0.004865965629214837
a,a,-0.12217304763960302,0.0037269241793389785
a,a,-0.1047197551196597,0.002739052315863325
a,a,-0.08726646259971638,0.0019026509541272285
a,a,-0.06981317007977306,0.0012179748700878717
a,a,-0.05235987755982996,0.0006852326227130647
a,a,-0.03490658503988664,0.0003045864904521357
a,a,-0.01745329251994332,7.61524218043806e-05
a,a,0.0,0.0
a,a,0.01745329251994332,7.61524218043806e-05
a,a,0.03490658503988664,0.0003045864904521357
a,a,0.05235987755982996,0.0006852326227130647
a,a,0.06981317007977328,0.0012179748700878795
a,a,0.0872664625997166,0.001902650954127238
a,a,0.10471975511965992,0.0027390523158633377
a,a,0.12217304763960302,0.0037269241793389785
a,a,0.13962634015954634,0.004865965629214837
