artifact_state,parameter_match,group,length,dimension,beta,observable,family,boundary,shell_mode,shell_width,delta,count,log_d_count
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.0825,97,0.5999920765624661
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.085,88,0.5872210562397543
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.08750000000000001,85,0.5826719032852457
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.09,73,0.562711323534547
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.0925,64,0.5454545454545454
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.095,60,0.5369900541462289
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.0975,57,0.5302627285604311
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1,53,0.5207200413239272
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.10250000000000001,48,0.5077238637019234
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.105,45,0.4992593723936068
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1075,37,0.4735866696026318
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.11,34,0.46249662193184904
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1125,33,0.45858128357804123
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.115,31,0.4503814827624432
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.11750000000000001,28,0.43703226564160036
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.12,24,0.4168147727928324
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1225,23,0.41123290509609206
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.125,21,0.3993015838889782
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1275,20,0.39290255408066926
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.13,18,0.3790840910402102
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1325,15,0.35517187232804714
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.135,14,0.3461231747325094
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1375,12,0.32590568188374147
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.14,12,0.32590568188374147
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.14250000000000002,12,0.32590568188374147
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.145,10,0.30199346317157844
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1475,8,0.2727272727272727
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.15,7,0.25521408382341854
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1525,6,0.23499659097465056
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.155,6,0.23499659097465056
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1575,6,0.23499659097465056
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.16,6,0.23499659097465056
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1625,6,0.23499659097465056
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.165,6,0.23499659097465056
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.1675,5,0.21108437226248747
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.25,sigma_x,eth_nonintegrable,periodic,centred,45,0.17,4,0.18181818181818182
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.75,sigma_x,eth_nonintegrable,periodic,centred,45,0.0,2048,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,supplemental,11,2048,0.75,sigma_x,eth_nonintegrable,periodic,centred,45,0.0025,1925,0.9918766118608751
