slit_width_um,Ftt,Ftf,Fff,rho_Fff_over_Ftt,rho_refined_quadrature,paper_rounded_analytic_reference
20.0,6.959577710614142e-12,9.162115841545116e-16,1.24750332692639e-16,1.7924985951716673e-05,1.7924985951716514e-05,1.75e-05
40.0,2.5116287263852283e-11,7.650630592246601e-15,7.479924974780323e-15,0.0002978117305397099,0.00029781173053970705,0.000299
80.0,6.37756184887551e-11,-1.011493736653059e-13,5.069175738896239e-13,0.007948454062879898,0.007948454062879796,0.00793
150.0,7.38925872229232e-11,3.082811185905347e-14,1.295078525206709e-11,0.17526501288953994,0.17526501288953802,0.176
250.0,5.120003387877911e-11,-6.624920148686845e-13,7.999132420804064e-11,1.562329517152813,1.562329517152799,1.56
