y_m,y_mm,gt,gf,gt_finite_difference,gf_finite_difference
-0.0015,-1.5,-1.9593297549450495e-09,-1.0896310054522105e-09,-1.9593297517254355e-09,-1.0896310043406236e-09
-0.0014990000000000001,-1.499,-1.8446619132221081e-09,-1.1162369545165928e-09,-1.8446619116885756e-09,-1.116236954414759e-09
-0.001498,-1.498,-1.7293465979412603e-09,-1.1429860946474822e-09,-1.729346593545698e-09,-1.14298609317524e-09
-0.001497,-1.497,-1.6134225057537872e-09,-1.169875217577081e-09,-1.613422503559206e-09,-1.1698752173651447e-09
-0.001496,-1.496,-1.4969285515465964e-09,-1.19690103395406e-09,-1.4969285494099817e-09,-1.1969010343920446e-09
-0.001495,-1.495,-1.3799038534142946e-09,-1.2240601730820125e-09,-1.3799038505371444e-09,-1.224060169772631e-09
-0.001494,-1.494,-1.2623877175398062e-09,-1.25134918268141e-09,-1.2623877149769929e-09,-1.2513491820219651e-09
-0.001493,-1.4929999999999999,-1.1444196229905204e-09,-1.2787645286749908e-09,-1.1444196190970807e-09,-1.2787645279118933e-09
-0.001492,-1.492,-1.0260392064355045e-09,-1.3063025949973882e-09,-1.026039202219542e-09,-1.3063025955582708e-09
-0.0014910000000000001,-1.491,-9.072862467906055e-10,-1.3339596834289664e-09,-9.072862434600343e-10,-1.3339596833278564e-09
-0.00149,-1.49,-7.88200649797024e-10,-1.3617320134544782e-09,-7.882006447705365e-10,-1.3617320134867926e-09
-0.001489,-1.489,-6.688224325408199e-10,-1.389615722146784e-09,-6.688224288713965e-10,-1.3896157226880284e-09
-0.001488,-1.488,-5.491917079185422e-10,-1.4176068640758449e-09,-5.491917040961558e-10,-1.4176068648664517e-09
-0.001487,-1.487,-4.2934866905625965e-10,-1.4457014112435432e-09,-4.2934866728668137e-10,-1.445701411238889e-09
-0.0014860000000000001,-1.4860000000000002,-3.093335736878704e-10,-1.4738952530444841e-09,-3.0933357153312197e-10,-1.4738952527856475e-09
-0.001485,-1.485,-1.891867284997315e-10,-1.5021841962531237e-09,-1.8918672410595635e-10,-1.5021841957010216e-09
-0.001484,-1.484,-6.894847344756637e-11,-1.5305639650375405e-09,-6.8948472393923e-11,-1.5305639655291957e-09
-0.001483,-1.4829999999999999,5.1340833947585413e-11,-1.559030201000167e-09,5.134083538705895e-11,-1.559030201787571e-09
-0.001482,-1.482,1.7164083431775033e-10,-1.5875784632456464e-09,1.71640836959e-10,-1.5875784616890774e-09
-0.0014810000000000001,-1.481,2.9191118217439826e-10,-1.6162042284762641e-09,2.91911184105981e-10,-1.6162042280003896e-09
-0.00148,-1.48,4.121115616362311e-10,-1.6449028911151931e-09,4.1211156542162014e-10,-1.6449028900167734e-09
-0.001479,-1.479,5.32201702151386e-10,-1.6736697634575168e-09,5.322017046547116e-10,-1.6736697613464683e-09
-0.001478,-1.478,6.521413942082689e-10,-1.7025000758499021e-09,6.521413971051725e-10,-1.7025000749476042e-09
-0.001477,-1.477,7.718905050274443e-10,-1.7313889768983653e-09,7.718905079696818e-10,-1.7313889756835757e-09
-0.001476,-1.4760000000000002,8.914089942291852e-10,-1.760331533705217e-09,8.914089971570985e-10,-1.7603315343851126e-09
-0.001475,-1.4749999999999999,1.0106569294687692e-09,-1.7893227321346251e-09,1.010656932936942e-09,-1.7893227308930773e-09
-0.001474,-1.474,1.129594502033957e-09,-1.8183574771076344e-09,1.1295945047606914e-09,-1.8183574768059317e-09
-0.0014730000000000001,-1.473,1.248182042397666e-09,-1.8474305929263595e-09,1.2481820451820716e-09,-1.847430591077909e-09
