slit_width_m,slit_width_um,F_tt,F_ff,rho_generated,rho_table_s1_reference,relative_error
2e-05,20.0,6.959613479340093e-12,1.2475040379782103e-16,1.7924904043615047e-05,1.75e-05,0.024280231063717073
4e-05,40.0,2.5116420822585612e-11,7.479916229171186e-15,0.0002978097986973116,0.000299,0.003980606363506421
8e-05,80.0,6.377591413925051e-11,5.06913648938738e-13,0.00794835567283168,0.00793,0.0023147128413216153
0.00015,150.0,7.389285587859438e-11,1.2950811815519632e-11,0.17526473515650492,0.176,0.004177641156221959
0.00025,250.0,5.120006291142976e-11,7.999135313109741e-11,1.562329196147147,1.56,0.0014930744532993556
