angle_deg,p_ab,p_bc,p_ac,wigner,w_limit
0.0,0.09159999999999997,0.1609,0.36632499999999996,-0.11382500000000001,-0.125
0.5,0.0925045929589745,0.16209325435547658,0.3684228473144511,-0.11382500000000001,-0.125
1.0,0.0934226158267576,0.1632784678347552,0.37052608366151274,-0.11382499999999995,-0.125
1.5,0.09435392136920165,0.1644551387433162,0.37263406011251776,-0.11382499999999995,-0.125
2.0,0.09529835522465493,0.165622765573114,0.3747461207977689,-0.11382499999999995,-0.125
2.5,0.09625575579342115,0.1667808473296655,0.3768616031230867,-0.11382500000000007,-0.125
3.0,0.09722595413337069,0.16792888386171245,0.37897983799508306,-0.1138249999999999,-0.125
3.5,0.09820877386192126,0.16906637619314285,0.38110015005506404,-0.11382499999999995,-0.125
4.0,0.09920403106460099,0.17019282685684986,0.38322185792145086,-0.11382500000000001,-0.125
4.5,0.10021153421039758,0.1713077402302059,0.38534427444060343,-0.11382499999999995,-0.125
5.0,0.10123108407409222,0.17241062287182587,0.3874667069459181,-0.11382500000000001,-0.125
5.5,0.10226247366576578,0.17350098385928986,0.38958845752505555,-0.1138249999999999,-0.125
6.0,0.10330548816766014,0.17457833512749407,0.39170882329515416,-0.11382499999999995,-0.125
6.5,0.10435990487856688,0.17564219180729773,0.39382709668586463,-0.11382500000000001,-0.125
7.0,0.10542549316590766,0.17669207256413116,0.39594256573003883,-0.11382500000000001,-0.125
7.5,0.10650201442566234,0.17772749993622777,0.3980545143618901,-0.11382499999999995,-0.125
8.0,0.10758922205029134,0.17874800067214602,0.40016222272243723,-0.1138249999999999,-0.125
8.5,0.1086868614047893,0.179753106067242,0.40226496747203133,-0.11382500000000001,-0.125
9.0,0.10979466981099842,0.18074235229875835,0.40436202210975675,-0.11382500000000001,-0.125
9.5,0.11091237654029983,0.18171528075919052,0.40645265729949026,-0.1138249999999999,-0.125
10.0,0.11203970281479146,0.18267143838759653,0.4085361412023879,-0.1138249999999999,-0.125
10.5,0.113176361817051,0.18361037799851607,0.41061173981556703,-0.11382499999999995,-0.125
11.0,0.1143220587085728,0.18453165860816428,0.4126787173167371,-0.11382500000000001,-0.125
11.5,0.11547649065695709,0.18543484575757158,0.4147363364145287,-0.11382500000000001,-0.125
12.0,0.11663934687191926,0.18631951183233994,0.4167838587042591,-0.1138249999999999,-0.125
12.5,0.11781030865017686,0.1871852363786892,0.4188205450288661,-0.11382500000000007,-0.125
13.0,0.11898904942926136,0.18803160641547317,0.42084565584473455,-0.11382500000000001,-0.125
13.5,0.12017523485029102,0.18885821674184308,0.4228584515921342,-0.11382500000000007,-0.125
14.0,0.12136852282973057,0.18966467024024625,0.4248581930699768,-0.11382500000000001,-0.125
14.5,0.12256856364015173,0.1904505781744466,0.4268441418145983,-0.11382499999999995,-0.125
15.0,0.12377499999999997,0.19121556048226165,0.4288155604822616,-0.11382500000000001,-0.125
15.5,0.12498746717235922,0.19195924606271458,0.43077171323507385,-0.11382500000000007,-0.125
16.0,0.1262055930726972,0.19268127305730387,0.43271186613000095,-0.1138249999999999,-0.125
16.5,0.12742899838556307,0.19338128912510166,0.4346352875106646,-0.11382499999999984,-0.125
17.0,0.12865729669019715,0.19405895171139428,0.4365412484015914,-0.11382500000000001,-0.125
17.5,0.12989009459500228,0.1947139283095883,0.43842902290459057,-0.11382500000000001,-0.125
18.0,0.13112699188081603,0.19534589671610864,0.4402978885969248,-0.11382500000000012,-0.125
18.5,0.13236758165291052,0.19595454527802617,0.4421471269309368,-0.11382500000000012,-0.125
19.0,0.1336114505016379,0.1965395731331548,0.44397602363479266,-0.11382500000000001,-0.125
19.5,0.134858178671627,0.19710069044236928,0.44578386911399615,-0.11382499999999984,-0.125
20.0,0.136107340239428,0.1976376186139025,0.4475699588533304,-0.1138249999999999,-0.125
20.5,0.13735850329948895,0.19815009051938592,0.449333593818875,-0.11382500000000012,-0.125
