L,dimension,average_pr2_middle,special_pr2_average,inverse_dimension,special_to_average_ratio
10,123,0.030413901224251975,0.039577102391136175,0.008130081300813009,1.3012833210485173
12,322,0.013187211970506726,0.025521592160992944,0.003105590062111801,1.9353288790740704
14,843,0.005737409027462317,0.015589960766553862,0.0011862396204033216,2.717247574982357
16,2207,0.002386665264535114,0.011503591738560226,0.00045310376076121433,4.819943504226996
