initial_state,L,time,entanglement_entropy,nearest_neighbor_zz,return_probability
z2,16,0.0,-0.0,-1.0,1.0
z2,16,0.16666666666666666,6.400602838608646e-05,-0.9449635097285802,0.7999063146452774
z2,16,0.3333333333333333,0.0025793123050054994,-0.7862876600656459,0.4041420855420217
z2,16,0.5,0.01851309055538152,-0.5445073104926191,0.12355323431182337
z2,16,0.6666666666666666,0.06267709308247413,-0.2562695753402721,0.020922886873144413
z2,16,0.8333333333333333,0.13554581155844675,0.02691717327601537,0.0016445766733355727
z2,16,1.0,0.21368586382419838,0.246787894857311,3.9985763337744174e-05
z2,16,1.1666666666666665,0.2624118613196851,0.3531412722629404,7.293723300972149e-08
z2,16,1.3333333333333333,0.2610720620595986,0.32010325556216285,1.1821044315870088e-11
z2,16,1.5,0.2205117568285655,0.15581164108438125,1.740481302770251e-10
z2,16,1.6666666666666665,0.17750512219635228,-0.10001021511271083,3.870792247182734e-10
z2,16,1.8333333333333333,0.16412915079595095,-0.3895265612553674,7.181576361270969e-10
z2,16,2.0,0.178521897332458,-0.6543081736896523,7.796730917409816e-10
z2,16,2.1666666666666665,0.19777907994999083,-0.8489006399730106,7.427881940105021e-10
z2,16,2.333333333333333,0.20739911270655653,-0.9464691044415298,4.806674424658817e-12
z2,16,2.5,0.20864072559919986,-0.9379139084358126,3.619211088716333e-15
z2,16,2.6666666666666665,0.21124378438162966,-0.8287374957667524,2.616019268612055e-10
z2,16,2.833333333333333,0.2271283055862936,-0.6371582528269917,5.203449676756344e-09
z2,16,3.0,0.26632810201739177,-0.39392899148184357,1.1649282095813887e-08
z2,16,3.1666666666666665,0.3294763249110186,-0.14142046215629214,3.233921544405542e-08
z2,16,3.333333333333333,0.40207154989471594,0.07128057409501055,7.285220116565068e-07
z2,16,3.5,0.4597069388632511,0.19853086105064935,1.7706103263328077e-05
z2,16,3.6666666666666665,0.48375825749903234,0.21104471406621272,0.00025814440041846485
z2,16,3.833333333333333,0.47570701447123415,0.10598200818896349,0.0023937584207393836
z2,16,4.0,0.4567110131426195,-0.0911945605847424,0.015006143534928922
z2,16,4.166666666666666,0.44991581860707913,-0.33459093729147776,0.06585160229389395
z2,16,4.333333333333333,0.46143249751861654,-0.5718143219611451,0.20570612685023032
z2,16,4.5,0.48058872064682023,-0.7575332333412178,0.45876772712773656
z2,16,4.666666666666666,0.4951290018573077,-0.8616404580066583,0.7233235136113599
z2,16,4.833333333333333,0.5014179672565386,-0.8710769738001823,0.7865339613964466
z2,16,5.0,0.5043117983884898,-0.7879088501008691,0.5629196222168181
