L,energy,density
12,-7.122224878806467,0.013806547112257407
12,-6.880793526982519,0.0
12,-6.639362175158571,0.0
12,-6.397930823334623,0.0
12,-6.156499471510676,0.013806547112257457
12,-5.915068119686728,0.027613094224514814
12,-5.67363676786278,0.0
12,-5.432205416038832,0.027613094224514814
12,-5.190774064214883,0.013806547112257407
12,-4.949342712390935,0.027613094224514915
12,-4.707911360566988,0.05522618844902963
12,-4.466480008743041,0.041419641336772374
12,-4.225048656919093,0.0
12,-3.9836173050951444,0.06903273556128704
12,-3.7421859532711963,0.08283928267354444
12,-3.500754601447248,0.06903273556128715
12,-3.259323249623301,0.06903273556128715
12,-3.0178918977993527,0.08283928267354444
12,-2.7764605459754046,0.08283928267354444
12,-2.535029194151457,0.13806547112257458
12,-2.293597842327509,0.15187201823483149
12,-2.052166490503561,0.05522618844902963
12,-1.8107351386796129,0.15187201823483149
12,-1.5693037868556652,0.06903273556128729
12,-1.3278724350317175,0.2070982066838611
12,-1.0864410832077693,0.12425892401031666
12,-0.8450097313838216,0.17948511245934695
12,-0.6035783795598739,0.11045237689805926
12,-0.3621470277359258,0.17948511245934629
12,-0.12071567591197763,0.027613094224514814
12,0.12071567591197008,0.027613094224514915
12,0.3621470277359178,0.17948511245934629
12,0.6035783795598659,0.11045237689805926
12,0.8450097313838136,0.17948511245934695
12,1.0864410832077613,0.12425892401031666
12,1.3278724350317095,0.2070982066838611
12,1.5693037868556576,0.06903273556128704
12,1.8107351386796058,0.15187201823483149
12,2.052166490503554,0.05522618844902963
12,2.293597842327501,0.1518720182348326
12,2.5350291941514485,0.13806547112257408
12,2.7764605459753966,0.08283928267354444
12,3.0178918977993447,0.08283928267354444
12,3.259323249623293,0.06903273556128704
12,3.500754601447241,0.06903273556128704
12,3.742185953271189,0.08283928267354444
12,3.9836173050951365,0.06903273556128754
12,4.225048656919084,0.0
12,4.466480008743032,0.04141964133677222
12,4.70791136056698,0.05522618844902963
12,4.949342712390928,0.027613094224514814
12,5.190774064214876,0.013806547112257407
12,5.4322054160388245,0.027613094224514814
12,5.673636767862772,0.0
12,5.915068119686719,0.027613094224514814
12,6.156499471510667,0.013806547112257407
12,6.397930823334615,0.0
12,6.639362175158563,0.0
12,6.880793526982512,0.0
12,7.12222487880646,0.013806547112257407
14,-8.309081054720643,0.004404878955552111
14,-8.027417290153842,0.0
14,-7.745753525587039,0.0
14,-7.464089761020238,0.004404878955552097
14,-7.182425996453436,0.008809757911104193
14,-6.900762231886635,0.0
14,-6.619098467319832,0.008809757911104193
14,-6.337434702753031,0.013214636866656332
14,-6.055770938186229,0.026429273733312497
14,-5.774107173619427,0.013214636866656332
14,-5.492443409052626,0.017619515822208387
14,-5.210779644485823,0.01321463686665629
14,-4.9291158799190224,0.05726342642217743
14,-4.647452115352221,0.039643910599968746
14,-4.365788350785419,0.030834152688864774
14,-4.084124586218618,0.061668305377729354
14,-3.8024608216518154,0.07488294224438564
14,-3.5207970570850136,0.07047806328883355
14,-3.239133292518212,0.05726342642217743
14,-2.9574695279514107,0.07928782119993774
14,-2.675805763384609,0.11452685284435452
14,-2.394141998817807,0.11893173179990661
14,-2.112478234251005,0.12333661075545871
14,-1.8308144696842032,0.07488294224438564
14,-1.5491507051174018,0.11452685284435486
14,-1.2674869405506004,0.17619515822208387
14,-0.9858231759837985,0.14536100553321918
14,-0.7041594114169967,0.11012197388880242
14,-0.4224956468501948,0.136551247622115
14,-0.14083188228339338,0.07928782119993799
14,0.14083188228340848,0.07928782119993749
14,0.42249564685021035,0.13655124762211543
14,0.7041594114170113,0.11012197388880277
14,0.9858231759838132,0.14536100553321873
14,1.267486940550615,0.17619515822208442
14,1.549150705117417,0.11452685284435414
14,1.8308144696842188,0.07488294224438588
14,2.1124782342510198,0.1233366107554591
14,2.3941419988178216,0.11893173179990622
14,2.6758057633846235,0.11452685284435486
14,2.9574695279514254,0.07928782119993749
14,3.2391332925182272,0.05726342642217743
14,3.520797057085028,0.07047806328883377
14,3.80246082165183,0.07488294224438541
14,4.084124586218632,0.06166830537772955
14,4.365788350785434,0.03083415268886458
14,4.647452115352236,0.039643910599968996
14,4.9291158799190375,0.05726342642217707
14,5.210779644485839,0.013214636866656332
14,5.49244340905264,0.017619515822208442
14,5.774107173619442,0.013214636866656249
14,6.055770938186244,0.026429273733312664
14,6.337434702753046,0.013214636866656249
14,6.619098467319848,0.008809757911104221
14,6.900762231886649,0.0
14,7.182425996453451,0.008809757911104166
14,7.4640897610202535,0.004404878955552083
14,7.745753525587055,0.0
14,8.027417290153856,0.0
14,8.309081054720657,0.004404878955552111
16,-9.496039482023253,0.0014462561785690644
16,-9.174139838564837,0.0
16,-8.852240195106422,0.0
16,-8.530340551648006,0.004338768535707193
16,-8.20844090818959,0.002892512357138129
16,-7.886541264731175,0.0
16,-7.564641621272758,0.0043387685357071815
16,-7.242741977814342,0.01590881796425971
16,-6.920842334355926,0.002892512357138129
16,-6.598942690897511,0.011570049428552515
16,-6.277043047439095,0.01735507414282877
16,-5.95514340398068,0.02169384267853597
16,-5.633243760522264,0.01590881796425971
16,-5.3113441170638485,0.026032611214243086
16,-4.989444473605432,0.047726453892779123
16,-4.667544830147016,0.04917271007134819
16,-4.345645186688601,0.03326389210708848
16,-4.023745543230185,0.050618966249917255
16,-3.701845899771769,0.07809783364272926
16,-3.379946256313353,0.08532911453557479
16,-3.0580466128549375,0.06652778421417696
16,-2.736146969396522,0.09979167632126544
16,-2.4142473259381063,0.1055767010355417
16,-2.0923476824796907,0.08677537071414387
16,-1.7704480390212751,0.12003926282123234
16,-1.4485483955628595,0.12293177517837046
16,-1.126648752104443,0.14462561785690564
16,-0.8047491086460266,0.12003926282123234
16,-0.48284946518761096,0.11136172574981795
16,-0.16094982172919536,0.10702295721411077
16,0.16094982172922023,0.10702295721411077
16,0.48284946518763583,0.11136172574981795
16,0.8047491086460514,0.12003926282123234
16,1.126648752104467,0.14462561785690645
16,1.4485483955628826,0.12293177517837046
16,1.7704480390212982,0.12003926282123234
16,2.092347682479714,0.08677537071414387
16,2.4142473259381303,0.10557670103554112
16,2.736146969396547,0.09979167632126544
16,3.0580466128549624,0.06652778421417696
16,3.379946256313378,0.08532911453557479
16,3.7018458997717936,0.07809783364272947
16,4.023745543230209,0.050618966249917255
16,4.345645186688625,0.03326389210708848
16,4.66754483014704,0.04917271007134819
16,4.989444473605456,0.047726453892779123
16,5.3113441170638716,0.02603261121424316
16,5.633243760522287,0.01590881796425971
16,5.955143403980704,0.021693842678535847
16,6.277043047439119,0.01735507414282887
16,6.598942690897534,0.011570049428552515
16,6.9208423343559495,0.002892512357138129
16,7.242741977814365,0.01590881796425971
16,7.5646416212727825,0.004338768535707145
16,7.8865412647312,0.0
16,8.208440908189615,0.002892512357138129
16,8.530340551648031,0.004338768535707193
16,8.852240195106447,0.0
16,9.174139838564862,0.0
16,9.496039482023278,0.0014462561785690644
