iteration_label,per_frame_generation_ms,slm_refresh_ms,total_assembly_time_ms
iter5,0.5,0.2,18.0
iter5,0.5,0.25,18.0
iter5,0.5,0.3,18.0
iter5,0.5,0.35,18.0
iter5,0.5,0.4,18.0
iter5,0.5,0.44999999999999996,18.0
iter5,0.5,0.5,18.0
iter5,0.5,0.55,19.0
iter5,0.5,0.6,20.0
iter5,0.5,0.6499999999999999,21.0
iter5,0.5,0.7,22.0
iter5,0.5,0.75,23.0
iter5,0.5,0.8,24.0
iter5,0.5,0.8499999999999999,24.999999999999996
iter5,0.5,0.8999999999999999,26.0
iter5,0.5,0.95,27.0
iter5,0.5,1.0,28.0
iter5,0.5,1.05,29.0
iter5,0.5,1.0999999999999999,29.999999999999996
iter5,0.5,1.15,31.0
iter5,0.5,1.2,32.0
iter5,0.5,1.2499999999999998,33.0
iter5,0.5,1.2999999999999998,34.0
iter5,0.5,1.3499999999999999,35.0
iter5,0.5,1.4,36.0
iter8,0.8,0.2,24.0
iter8,0.8,0.25,24.0
iter8,0.8,0.3,24.0
iter8,0.8,0.35,24.0
iter8,0.8,0.4,24.0
iter8,0.8,0.44999999999999996,24.0
iter8,0.8,0.5,24.0
iter8,0.8,0.55,24.0
iter8,0.8,0.6,24.0
iter8,0.8,0.6499999999999999,24.0
iter8,0.8,0.7,24.0
iter8,0.8,0.75,24.0
iter8,0.8,0.8,24.0
iter8,0.8,0.8499999999999999,24.999999999999996
iter8,0.8,0.8999999999999999,26.0
iter8,0.8,0.95,27.0
iter8,0.8,1.0,28.0
iter8,0.8,1.05,29.0
iter8,0.8,1.0999999999999999,29.999999999999996
iter8,0.8,1.15,31.0
iter8,0.8,1.2,32.0
iter8,0.8,1.2499999999999998,33.0
iter8,0.8,1.2999999999999998,34.0
iter8,0.8,1.3499999999999999,35.0
iter8,0.8,1.4,36.0
iter10,1.0,0.2,28.0
iter10,1.0,0.25,28.0
iter10,1.0,0.3,28.0
iter10,1.0,0.35,28.0
iter10,1.0,0.4,28.0
iter10,1.0,0.44999999999999996,28.0
iter10,1.0,0.5,28.0
iter10,1.0,0.55,28.0
iter10,1.0,0.6,28.0
iter10,1.0,0.6499999999999999,28.0
iter10,1.0,0.7,28.0
iter10,1.0,0.75,28.0
iter10,1.0,0.8,28.0
iter10,1.0,0.8499999999999999,28.0
iter10,1.0,0.8999999999999999,28.0
iter10,1.0,0.95,28.0
iter10,1.0,1.0,28.0
iter10,1.0,1.05,29.0
iter10,1.0,1.0999999999999999,29.999999999999996
iter10,1.0,1.15,31.0
iter10,1.0,1.2,32.0
iter10,1.0,1.2499999999999998,33.0
iter10,1.0,1.2999999999999998,34.0
iter10,1.0,1.3499999999999999,35.0
iter10,1.0,1.4,36.0
