metric,reproduced_value,paper_reference,delta,validation_instances,comparison_rule,passed
mean_average_distance,0.5179771007969975,0.512,0.005977100796997536,64,lower_is_better,false
mean_max_distance,1.9430985357612371,1.93,0.013098535761237207,64,lower_is_better,false
