panel,time,h_mean,sigma,gap,leading_modulus,protected_rank,maximum_residual,seed_agreement_absolute,solver_status,parameter_match
left,3,0,0,0,1,5,0,0,passed,reduced_scale
left,3,0,0.40000000000000002,0.14785621128122506,0.85214378871877494,5,7.0353921075563346e-08,1.4775292100921433e-11,passed,reduced_scale
left,4,0,0,0,1,7,0,0,passed,reduced_scale
left,4,0,0.40000000000000002,0.14785579978644048,0.85214420021355952,7,5.3108382931012251e-05,6.7804656811443209e-07,passed,reduced_scale
