panel,time,h_mean,sigma,gap,leading_modulus,protected_rank,maximum_residual,seed_agreement_absolute,solver_status,parameter_match
right,4,0,0,0,1,7,0,0,passed,reduced_scale
right,4,0,0.40000000000000002,0.14785579978644048,0.85214420021355952,7,5.3108382931012251e-05,6.7804656811443209e-07,passed,reduced_scale
right,4,0.29999999999999999,0,0,1,7,0,0,passed,reduced_scale
right,4,0.29999999999999999,0.40000000000000002,0.15868359974592439,0.84131640025407561,7,3.6501491155295717e-05,4.695548312394493e-07,passed,reduced_scale
