p,shots,error_shots,accepted,acceptance_rate,acceptance_se,fidelity,infidelity,infidelity_se,locations
0.001,2048,496,1618,0.7900390625,0.008999710884682443,1.0,0.0,0.0,275
0.005,2048,1492,690,0.3369140625,0.010444303943215865,0.9934782608695653,0.006521739130434745,0.002390492692255399,275
0.01,2048,1926,221,0.10791015625,0.006855994840145082,0.9570135746606335,0.042986425339366474,0.011835523853656894,275
0.02,2048,2038,36,0.017578125,0.0029038241321692575,0.8333333333333334,0.16666666666666663,0.043920523057894116,275
0.05,2048,2048,9,0.00439453125,0.0014616215552755373,0.4444444444444444,0.5555555555555556,0.12283795519834814,275
