unit,disposition,label,percent
Claim Check,reproduced,Reproduced,52.580727
Claim Check,externally_blocked,Objective blocker,28.832952
Claim Check,attempted_not_reproduced,"Attempted, not reproduced",18.586321
Claim Check,pending,Pending,0.0
Claim,reproduced,Reproduced,40.547294
Claim,externally_blocked,Objective blocker,21.933505
Claim,attempted_not_reproduced,"Attempted, not reproduced",37.519201
Claim,pending,Pending,0.0
