paper_id,successful_claim_coverage
0709.0548,76.470588
0911.0556,75.0
10.1007-s11433-024-2478-8,54.761905
10.1038-s41467-025-67768-4,62.5
10.1038-s41586-024-08262-7,100.0
10.1038-s41586-026-10720-3,7.692308
10.1103-PRXQuantum.6.010331,50.0
10.1103-PhysRevB.91.085420,100.0
10.1103-PhysRevLett.124.113601,20.0
10.1126-science.aaw1611,82.461538
10.1145-3297858.3304023,50.0
1004.0190,80.0
1106.2978,88.095238
1206.2505,66.666667
1212.3324,66.666667
1302.5069,100.0
1508.03344,14.285714
1608.02589,0.0
1706.07435,100.0
1708.05014,67.171717
1709.03478,0.0
1710.10890,27.272727
1711.03528,100.0
1711.08863,100.0
1711.09418,56.25
1803.01876,62.5
1803.07128,11.111111
1804.03151,94.117647
1804.04672,50.0
1805.00931,65.0
1807.01815,16.666667
1807.02414,86.666667
1807.03311,50.0
1807.10084,100.0
1807.10676,2.564103
1810.00888,100.0
1811.08017,100.0
1812.05561,9.090909
1903.05124,100.0
1904.10246,100.0
1905.09460,65.909091
1910.00020,100.0
1910.08980,0.0
2005.09722,90.909091
2005.12667,90.053706
2101.12558,0.0
2103.03074,46.04564
2105.08076,83.333334
2211.15015,6.666667
2305.15556,100.0
2401.05830,50.0
2401.08523,100.0
2402.14814,88.888889
2404.08378,57.142857
2406.07531,0.0
2406.13410,60.294118
2407.01296,45.897436
2409.18176,38.666667
2412.14271,42.222222
2502.20558,10.877193
2504.08598,60.0
2506.06669,47.619048
2507.09447,37.5
2510.12880,11.111111
2510.26761,40.0
2511.11394,100.0
2512.08279,38.297872
2512.23799,25.0
2602.12212,100.0
2604.08669,0.0
2605.02873,100.0
2605.25398,100.0
2605.25594,0.0
2606.30255,100.0
2607.00718,100.0
2607.02157,0.0
2607.08212,14.285714
2607.08767,22.222222
2607.15070,100.0
2607.15597,40.47619
2607.22976,100.0
2607.23978,15.0
2607.27060,100.0
2607.28795,4.615385
2608.03987,0.0
2608.05312,2.777778
PhysRevA.47.5138,100.0
PhysRevB.14.2239,33.333333
PhysRevLett.132.113001,45.0
PhysRevLett.133.191801,0.0
cond-mat-0411737,32.69912
cond-mat-0503511,99.785177
cond-mat-0509490,100.0
cond-mat-0610854,0.0
physics-0206018,0.0
physics-9712001,98.076923
quant-ph-0211074,51.120081
quant-ph-0403025,66.666667
quant-ph-0507004,60.0
quant-ph-9709029,100.0
