label,real_energy,imag_energy,gamma_1,gamma_2,gamma_3,gamma_4,lyapunov_winding,direct_twist_winding,paper_region_winding,methods_match
left_hole,-1.65,0.6,-0.2880973583005364,0.018738915750890643,0.11715885661585926,0.8453467664937311,-1,-1,-1,True
center_hole,-0.6,0.0,-0.18214426650547372,-0.06745251213990344,-0.05078088332980884,0.993524842535128,1,1,1,True
right_hole,3.1,0.0,-0.9021858196991035,0.04137962885585344,0.05842990993006754,1.4955234614731276,-1,-1,-1,True
alm_region,-1.9,0.35,-0.28302515369870307,-0.11432239394494394,0.34385274576862807,0.7466419824349648,0,0,0,True
