realizations,seed,qr_interval,status,exponential_slope,exponential_r_squared,power_law_r_squared,exponential_r2_advantage
16,250709487,1,feature_not_resolved,-0.0026707513260256876,0.768718931929828,0.62762937201709,0.14108955991273797
16,250709487,4,feature_not_resolved,-0.0026707513260257124,0.7687189319298383,0.6276293720170998,0.14108955991273853
16,250710487,1,feature_not_resolved,-0.006895961309546311,0.5873251687843232,0.6894721990854756,-0.10214703030115246
16,250710487,4,feature_not_resolved,-0.006895961309546186,0.5873251687843042,0.6894721990854584,-0.10214703030115424
16,250711487,1,feature_not_resolved,0.0007494769348327627,0.00935079320245924,0.052391687514712904,-0.043040894312253664
16,250711487,4,feature_not_resolved,0.000749476934832014,0.009350793202439145,0.0523916875146615,-0.043040894312222355
64,250709487,1,feature_not_resolved,-0.001106495445009445,0.017103164276372596,0.013050403193155757,0.004052761083216838
64,250709487,4,feature_not_resolved,-0.001106495445008169,0.017103164276333627,0.013050403193132665,0.004052761083200962
64,250710487,1,feature_not_resolved,-0.003664043929667341,0.14505688703367292,0.26355830165417893,-0.11850141462050601
64,250710487,4,feature_not_resolved,-0.003664043929667536,0.14505688703368225,0.2635583016541878,-0.11850141462050556
64,250711487,1,feature_not_resolved,-0.005114198989341512,0.18952628196704824,0.3113800717723427,-0.12185378980529449
64,250711487,4,feature_not_resolved,-0.005114198989340723,0.18952628196703825,0.31138007177236726,-0.12185378980532902
128,250709487,1,feature_not_resolved,-0.004689498238764176,0.45710702486126475,0.5570955517901504,-0.0999885269288856
128,250709487,4,feature_not_resolved,-0.004689498238764466,0.4571070248614485,0.5570955517903144,-0.09998852692886595
128,250710487,1,feature_not_resolved,-0.0020135352483051554,0.14818250345092687,0.30845281322034346,-0.16027030976941659
128,250710487,4,feature_not_resolved,-0.002013535248305118,0.14818250345092565,0.3084528132203407,-0.16027030976941503
128,250711487,1,feature_not_resolved,-0.0004861834538490829,0.004587228546410915,0.11325852087595367,-0.10867129232954276
128,250711487,4,feature_not_resolved,-0.00048618345384912766,0.0045872285464118034,0.11325852087595711,-0.10867129232954531
