target_id,boundary,realization,level,W,real_energy,imag_energy
T002,PBC,0,0,0.8,4.13276503790405,8.88347826289576e-16
T002,PBC,0,1,0.8,4.091391189660072,5.70518032238624e-16
T002,PBC,0,2,0.8,4.102135854525562,-6.097235563728281e-16
T002,PBC,0,3,0.8,3.997900317347903,6.752333843535418e-17
T002,PBC,0,4,0.8,3.9703749257986636,3.579254294346722e-15
T002,PBC,0,5,0.8,3.901071098335101,-0.019920916594643432
T002,PBC,0,6,0.8,3.9010710983350987,0.019920916594646614
T002,PBC,0,7,0.8,3.8202641451827266,-0.034052896907866316
T002,PBC,0,8,0.8,3.8202641451827253,0.03405289690786751
T002,PBC,0,9,0.8,3.691088985847049,-0.05135509824565445
T002,PBC,0,10,0.8,3.6910889858470504,0.05135509824564994
T002,PBC,0,11,0.8,3.5690895446138162,0.08911766801445486
T002,PBC,0,12,0.8,3.5690895446138127,-0.08911766801445248
T002,PBC,0,13,0.8,3.42256836255127,-0.10094941916274565
T002,PBC,0,14,0.8,3.4225683625512713,0.10094941916274472
T002,PBC,0,15,0.8,3.249190651038238,-0.11219518957097296
T002,PBC,0,16,0.8,3.249190651038232,0.11219518957097191
T002,PBC,0,17,0.8,3.0616621952080267,-0.1373951389603141
T002,PBC,0,18,0.8,3.0616621952080205,0.13739513896031263
T002,PBC,0,19,0.8,2.869527893864698,-0.15383092157195832
T002,PBC,0,20,0.8,2.86952789386469,0.1538309215719565
T002,PBC,0,21,0.8,2.6655603277939304,-0.16154807256175344
T002,PBC,0,22,0.8,2.6655603277939273,0.1615480725617534
T002,PBC,0,23,0.8,2.447728258270345,-0.16188638319070156
T002,PBC,0,24,0.8,2.4477282582703475,0.16188638319070137
T002,PBC,0,25,0.8,2.219836886632707,-0.15783764943832762
T002,PBC,0,26,0.8,2.2198368866327085,0.157837649438328
T002,PBC,0,27,0.8,1.9826195417413166,-0.14628998392145715
T002,PBC,0,28,0.8,1.9826195417413173,0.14628998392145834
T002,PBC,0,29,0.8,1.7393105321860178,-0.13471336016616262
T002,PBC,0,30,0.8,1.739310532186017,0.13471336016616212
T002,PBC,0,31,0.8,1.4967671723187066,-0.11468941339425132
T002,PBC,0,32,0.8,1.4967671723187053,0.1146894133942531
T002,PBC,0,33,0.8,1.2520836067199566,-0.08541588608070129
T002,PBC,0,34,0.8,1.2520836067199568,0.08541588608070236
T002,PBC,0,35,0.8,1.0258220664213011,-1.2443409854635414e-15
T002,PBC,0,36,0.8,0.9637930614354354,8.628337781247329e-16
T002,PBC,0,37,0.8,0.7411425854642782,-0.015336065094429266
T002,PBC,0,38,0.8,0.7411425854642779,0.015336065094428804
T002,PBC,0,39,0.8,0.4767369183531328,-5.981181476837288e-16
T002,PBC,0,40,0.8,0.4414004033996775,-2.689376230952188e-16
T002,PBC,0,41,0.8,0.23803626156278876,0.021701272642295995
T002,PBC,0,42,0.8,0.23803626156278887,-0.021701272642297226
T002,PBC,0,43,0.8,-2.2983329938076533,0.7896974145692371
T002,PBC,0,44,0.8,-2.2833732819680748,0.7707128178279805
T002,PBC,0,45,0.8,-2.298332993807662,-0.7896974145692439
T002,PBC,0,46,0.8,-2.2833732819680845,-0.7707128178279845
T002,PBC,0,47,0.8,-2.2354783800919917,-0.7635620807608529
T002,PBC,0,48,0.8,-2.2354783800919846,0.7635620807608497
T002,PBC,0,49,0.8,0.005700597978667938,-0.06817809151588655
T002,PBC,0,50,0.8,0.005700597978666542,0.06817809151588594
T002,PBC,0,51,0.8,-2.160643224259788,-0.7694806438342805
T002,PBC,0,52,0.8,-2.160643224259797,0.7694806438342783
T002,PBC,0,53,0.8,-2.1455076449318904,-0.752848518161721
T002,PBC,0,54,0.8,-2.1096625319245272,-0.7674365305068673
T002,PBC,0,55,0.8,-2.1455076449318766,0.7528485181617256
T002,PBC,0,56,0.8,-2.1027214558871705,-0.7328409698204327
T002,PBC,0,57,0.8,-2.1096625319245295,0.7674365305068679
T002,PBC,0,58,0.8,-2.1027214558871896,0.7328409698204421
T002,PBC,0,59,0.8,-2.0350955747941817,-0.7232076897704065
T002,PBC,0,60,0.8,-2.0159181042530276,-0.6947192631886105
T002,PBC,0,61,0.8,-0.2234178713399156,-0.1090251382225663
T002,PBC,0,62,0.8,-1.9484250318573408,-0.7730402832811324
T002,PBC,0,63,0.8,-2.035095574794171,0.7232076897704062
T002,PBC,0,64,0.8,-1.948425031857338,0.7730402832811323
T002,PBC,0,65,0.8,-2.015918104253026,0.6947192631886129
