group,state_class,profile_index,site,real_energy,imag_energy,probability
figs2,alm,0,0,3.5037624917411505,1.3792577052538082e-16,4.5346981240844763e-10
figs2,alm,0,1,3.5037624917411505,1.3792577052538082e-16,2.060515741989538e-09
figs2,alm,0,2,3.5037624917411505,1.3792577052538082e-16,5.288823797918945e-09
figs2,alm,0,3,3.5037624917411505,1.3792577052538082e-16,2.5094211749234926e-09
figs2,alm,0,4,3.5037624917411505,1.3792577052538082e-16,1.3191212115292927e-08
figs2,alm,0,5,3.5037624917411505,1.3792577052538082e-16,9.883556395667942e-10
figs2,alm,0,6,3.5037624917411505,1.3792577052538082e-16,2.8688395926652738e-09
figs2,alm,0,7,3.5037624917411505,1.3792577052538082e-16,1.1802300953759037e-08
figs2,alm,0,8,3.5037624917411505,1.3792577052538082e-16,9.993828741692854e-09
figs2,alm,0,9,3.5037624917411505,1.3792577052538082e-16,4.6248090778286106e-08
figs2,alm,0,10,3.5037624917411505,1.3792577052538082e-16,5.7666593045326317e-08
figs2,alm,0,11,3.5037624917411505,1.3792577052538082e-16,1.0518014444583002e-07
figs2,alm,0,12,3.5037624917411505,1.3792577052538082e-16,5.169291779449022e-07
figs2,alm,0,13,3.5037624917411505,1.3792577052538082e-16,8.08460630057655e-07
figs2,alm,0,14,3.5037624917411505,1.3792577052538082e-16,3.301792283797089e-06
figs2,alm,0,15,3.5037624917411505,1.3792577052538082e-16,1.0749115706332143e-05
figs2,alm,0,16,3.5037624917411505,1.3792577052538082e-16,1.7581600065219344e-07
figs2,alm,0,17,3.5037624917411505,1.3792577052538082e-16,1.1891922047842526e-06
figs2,alm,0,18,3.5037624917411505,1.3792577052538082e-16,1.4306753378488775e-07
figs2,alm,0,19,3.5037624917411505,1.3792577052538082e-16,4.887816483729411e-07
figs2,alm,0,20,3.5037624917411505,1.3792577052538082e-16,2.1874332337810175e-06
figs2,alm,0,21,3.5037624917411505,1.3792577052538082e-16,4.2327917464305645e-06
figs2,alm,0,22,3.5037624917411505,1.3792577052538082e-16,1.9216625625361054e-05
figs2,alm,0,23,3.5037624917411505,1.3792577052538082e-16,4.0060007706511494e-05
figs2,alm,0,24,3.5037624917411505,1.3792577052538082e-16,3.8095646630592394e-05
figs2,alm,0,25,3.5037624917411505,1.3792577052538082e-16,0.00019485538423211698
figs2,alm,0,26,3.5037624917411505,1.3792577052538082e-16,9.065865594861342e-05
figs2,alm,0,27,3.5037624917411505,1.3792577052538082e-16,0.00032319109463520637
figs2,alm,0,28,3.5037624917411505,1.3792577052538082e-16,0.0012343283623829449
figs2,alm,0,29,3.5037624917411505,1.3792577052538082e-16,0.000338337808471707
figs2,alm,0,30,3.5037624917411505,1.3792577052538082e-16,0.0015302431068526694
figs2,alm,0,31,3.5037624917411505,1.3792577052538082e-16,0.0011369307398259635
figs2,alm,0,32,3.5037624917411505,1.3792577052538082e-16,0.0026987780885367675
figs2,alm,0,33,3.5037624917411505,1.3792577052538082e-16,0.012873740576558873
figs2,alm,0,34,3.5037624917411505,1.3792577052538082e-16,0.027010963388956404
figs2,alm,0,35,3.5037624917411505,1.3792577052538082e-16,0.11618109291314001
figs2,alm,0,36,3.5037624917411505,1.3792577052538082e-16,0.3305525487860608
figs2,alm,0,37,3.5037624917411505,1.3792577052538082e-16,0.07891929140749784
figs2,alm,0,38,3.5037624917411505,1.3792577052538082e-16,0.42650896574921804
figs2,alm,0,39,3.5037624917411505,1.3792577052538082e-16,0.00028448783305426765
figs2,alm,0,40,3.5037624917411505,1.3792577052538082e-16,1.619089186195524e-07
figs2,alm,0,41,3.5037624917411505,1.3792577052538082e-16,2.838549924702575e-10
figs2,alm,0,42,3.5037624917411505,1.3792577052538082e-16,1.2965720578320432e-13
figs2,alm,0,43,3.5037624917411505,1.3792577052538082e-16,1.8213517093078913e-16
figs2,alm,0,44,3.5037624917411505,1.3792577052538082e-16,2.8549612885926765e-19
figs2,alm,0,45,3.5037624917411505,1.3792577052538082e-16,1.3998360122939476e-22
figs2,alm,0,46,3.5037624917411505,1.3792577052538082e-16,2.8518692452316824e-25
figs2,alm,0,47,3.5037624917411505,1.3792577052538082e-16,1.5263958825891121e-28
figs2,alm,0,48,3.5037624917411505,1.3792577052538082e-16,1.6570517294522185e-31
figs2,alm,0,49,3.5037624917411505,1.3792577052538082e-16,2.634790669734491e-32
figs2,alm,0,50,3.5037624917411505,1.3792577052538082e-16,2.759564627962434e-36
figs2,alm,0,51,3.5037624917411505,1.3792577052538082e-16,6.84613780788887e-36
figs2,alm,0,52,3.5037624917411505,1.3792577052538082e-16,1.2828570194333242e-35
figs2,alm,0,53,3.5037624917411505,1.3792577052538082e-16,4.181945489898472e-34
figs2,alm,0,54,3.5037624917411505,1.3792577052538082e-16,5.155571739355846e-33
figs2,alm,0,55,3.5037624917411505,1.3792577052538082e-16,8.444157675207812e-37
figs2,alm,0,56,3.5037624917411505,1.3792577052538082e-16,1.3322641353039177e-41
figs2,alm,0,57,3.5037624917411505,1.3792577052538082e-16,5.863629017096326e-45
figs2,alm,0,58,3.5037624917411505,1.3792577052538082e-16,2.2234182574379e-43
figs2,alm,0,59,3.5037624917411505,1.3792577052538082e-16,1.8867951769235384e-42
figs2,alm,0,60,3.5037624917411505,1.3792577052538082e-16,1.400487501012087e-43
figs2,alm,0,61,3.5037624917411505,1.3792577052538082e-16,1.1398964101964016e-42
figs2,alm,0,62,3.5037624917411505,1.3792577052538082e-16,8.65306430480175e-42
figs2,alm,0,63,3.5037624917411505,1.3792577052538082e-16,2.2256128828642437e-45
figs2,alm,0,64,3.5037624917411505,1.3792577052538082e-16,2.1268096178316343e-49
figs2,alm,0,65,3.5037624917411505,1.3792577052538082e-16,1.6332609760182263e-47
figs2,alm,0,66,3.5037624917411505,1.3792577052538082e-16,1.2084424004748811e-46
figs2,alm,0,67,3.5037624917411505,1.3792577052538082e-16,1.5042419320323898e-45
figs2,alm,0,68,3.5037624917411505,1.3792577052538082e-16,2.8947000703623928e-49
figs2,alm,0,69,3.5037624917411505,1.3792577052538082e-16,6.797701987864025e-53
figs2,alm,0,70,3.5037624917411505,1.3792577052538082e-16,6.052042251182023e-56
figs2,alm,0,71,3.5037624917411505,1.3792577052538082e-16,1.0592403523505196e-59
figs2,alm,0,72,3.5037624917411505,1.3792577052538082e-16,1.07180885690488e-62
figs2,alm,0,73,3.5037624917411505,1.3792577052538082e-16,1.0375160978220205e-65
figs2,alm,0,74,3.5037624917411505,1.3792577052538082e-16,2.1692344074657852e-64
figs2,alm,0,75,3.5037624917411505,1.3792577052538082e-16,2.4881590641889274e-63
figs2,alm,0,76,3.5037624917411505,1.3792577052538082e-16,4.6097155091434316e-67
figs2,alm,0,77,3.5037624917411505,1.3792577052538082e-16,1.457361356280291e-70
figs2,alm,0,78,3.5037624917411505,1.3792577052538082e-16,5.950716005942532e-74
figs2,alm,0,79,3.5037624917411505,1.3792577052538082e-16,1.0319731938587745e-77
figs2,alm,0,80,3.5037624917411505,1.3792577052538082e-16,1.1098439626212887e-79
figs2,alm,0,81,3.5037624917411505,1.3792577052538082e-16,2.3346566998959415e-83
figs2,alm,0,82,3.5037624917411505,1.3792577052538082e-16,8.568672788881281e-87
figs2,alm,0,83,3.5037624917411505,1.3792577052538082e-16,1.5535439999177334e-85
figs2,alm,0,84,3.5037624917411505,1.3792577052538082e-16,1.8492596113489437e-85
figs2,alm,0,85,3.5037624917411505,1.3792577052538082e-16,2.586461058190392e-84
figs2,alm,0,86,3.5037624917411505,1.3792577052538082e-16,1.2718217843078965e-83
figs2,alm,0,87,3.5037624917411505,1.3792577052538082e-16,1.1761968516513497e-82
figs2,alm,0,88,3.5037624917411505,1.3792577052538082e-16,1.5502692906249278e-81
figs2,alm,0,89,3.5037624917411505,1.3792577052538082e-16,2.6937980314106386e-85
figs2,alm,0,90,3.5037624917411505,1.3792577052538082e-16,6.313159210864477e-89
figs2,alm,0,91,3.5037624917411505,1.3792577052538082e-16,3.3322955180918426e-92
figs2,alm,0,92,3.5037624917411505,1.3792577052538082e-16,5.411434944911356e-96
figs2,alm,0,93,3.5037624917411505,1.3792577052538082e-16,7.372066822903125e-99
figs2,alm,0,94,3.5037624917411505,1.3792577052538082e-16,1.4947022634574882e-102
figs2,alm,0,95,3.5037624917411505,1.3792577052538082e-16,2.624221963085443e-106
figs2,alm,0,96,3.5037624917411505,1.3792577052538082e-16,2.8386496855751687e-108
figs2,alm,0,97,3.5037624917411505,1.3792577052538082e-16,4.724435914280734e-112
figs2,alm,0,98,3.5037624917411505,1.3792577052538082e-16,1.5367221921117222e-115
figs2,alm,0,99,3.5037624917411505,1.3792577052538082e-16,4.61456716517552e-119
figs2,alm,0,100,3.5037624917411505,1.3792577052538082e-16,7.135106588738234e-123
figs2,alm,0,101,3.5037624917411505,1.3792577052538082e-16,2.005482949172234e-124
figs2,alm,0,102,3.5037624917411505,1.3792577052538082e-16,3.6388949019769516e-128
figs2,alm,0,103,3.5037624917411505,1.3792577052538082e-16,7.523811163075717e-132
