group,real_energy,imag_energy,theory_density,ed_density,gamma_ess,state_code
figs2,-0.5,-0.55,-3.262606475833888,0.0,-0.5229673609058019,-1
figs2,-0.4125,-0.55,-2.5408958201171306,0.0,-0.4982511870586983,-1
figs2,-0.325,-0.55,-1.924947806543778,0.0,-0.4655519474796815,-1
figs2,-0.23750000000000004,-0.55,-1.5979060313742732,0.0,-0.4343071202730825,-1
figs2,-0.15000000000000002,-0.55,-1.4006710315726054,0.0,-0.40584712885787716,-1
figs2,-0.0625,-0.55,-1.2619374911465755,0.0,-0.3800342407957068,-1
figs2,0.02499999999999991,-0.55,-1.1596311221123905,0.0,-0.3565162215020452,-1
figs2,0.11249999999999993,-0.55,-1.0818825128359368,0.0,-0.33498224055974535,-1
figs2,0.19999999999999996,-0.55,-1.0214175609704237,0.0,-0.3152157414431969,-1
figs2,0.2875,-0.55,-0.974452136093145,0.0,-0.29710257002020096,-1
figs2,0.375,-0.55,-0.9400094691446466,0.0,-0.2806335097700335,-1
figs2,0.4624999999999999,-0.55,-0.9197596832632254,0.0,-0.26591295853548685,-1
figs2,0.5499999999999998,-0.55,-0.9171298650891481,1.9560601100183948e-10,-0.2531793676903211,-1
figs2,0.6375,-0.55,-0.9398792851519514,6.477581460162855e-09,-0.24283889306218895,-1
figs2,0.7249999999999999,-0.55,-1.0227892156006255,7.891309701839877e-08,-0.23545021517990966,-1
figs2,0.8125,-0.55,-1.1806681641962946,3.5366396441388506e-07,-0.23067219246881507,-1
figs2,0.8999999999999999,-0.55,-1.2369359223170784,5.830933008093055e-07,-0.2165917615148798,-1
figs2,0.9874999999999998,-0.55,-1.0600269475607456,3.5366396441388506e-07,-0.18650252395854164,-1
figs2,1.075,-0.55,-0.8677654663319504,7.891309701839877e-08,-0.15671374885286252,-1
figs2,1.1624999999999999,-0.55,-0.7658698773371044,6.477581460162855e-09,-0.1296135447181149,-1
figs2,1.25,-0.55,-0.704336378192355,1.9560601100183948e-10,-0.10480476058089785,-1
figs2,1.3375,-0.55,-0.6613774859723156,0.0,-0.08180351547838877,-1
figs2,1.4249999999999998,-0.55,-0.6306335178314425,0.0,-0.060231217702186805,-1
figs2,1.5124999999999997,-0.55,-0.607518430305467,0.0,-0.03980312116338881,-1
figs2,1.5999999999999996,-0.55,-0.5891168250743306,0.0,-0.020305011046378107,-1
figs2,1.6875,-0.55,-0.5737332164682517,0.0,-0.0015752950476957833,0
figs2,1.775,-0.55,-0.5603872681370786,0.0,0.01650833827522328,1
figs2,1.8624999999999998,-0.55,-0.5485050749447137,0.0,0.03403951075480028,1
figs2,1.9499999999999997,-0.55,-0.5377330424309347,0.0,0.05109168022011784,1
figs2,2.0374999999999996,-0.55,-0.5278249971488144,0.0,0.06772454881993371,1
figs2,2.125,-0.55,-0.5185822673377836,0.0,0.08398817050008775,1
figs2,2.2125,-0.55,-0.5098341118693345,0.0,0.099924892898463,1
figs2,2.3,-0.55,-0.5014435516656677,0.0,0.11556977460593518,1
figs2,2.3874999999999997,-0.55,-0.49332116229092027,0.0,0.1309504150739326,1
figs2,2.4749999999999996,-0.55,-0.4854311408156545,0.0,0.1460870986304399,1
figs2,2.5625,-0.55,-0.4777841044769867,0.0,0.16099365859135234,1
figs2,2.65,-0.55,-0.4704251148428072,0.0,0.17567876684670736,1
figs2,2.7375,-0.55,-0.46342732894358313,0.0,0.19014723612028978,1
figs2,2.8249999999999997,-0.55,-0.45688669343960603,0.0,0.20440149186881607,1
figs2,2.9124999999999996,-0.55,-0.45089852946104914,0.0,0.2184438502492049,1
figs2,3.0,-0.55,-0.4455118807350777,0.0,0.232279540673995,1
figs2,3.0875,-0.55,-0.440697141088679,0.0,0.24591870423561663,1
figs2,3.175,-0.55,-0.43636255107853855,0.0,0.25937567388858757,1
figs2,3.2624999999999997,-0.55,-0.4324005925415322,0.0,0.27266645913896476,1
figs2,3.3499999999999996,-0.55,-0.4287195352940534,0.0,0.28580661867727497,1
figs2,3.4374999999999996,-0.55,-0.4252486635930233,0.0,0.29881024896124,1
figs2,3.5249999999999995,-0.55,-0.4219356566768762,0.0,0.31168949174849364,1
figs2,3.6125,-0.55,-0.41875122327832637,0.0,0.32445399568129013,1
figs2,3.6999999999999993,-0.55,-0.41569950089457247,0.0,0.33711038783475833,1
figs2,3.7874999999999996,-0.55,-0.4128216734760508,0.0,0.34966231283202237,1
figs2,3.875,-0.55,-0.410184972739238,0.0,0.36211138914937935,1
figs2,3.9624999999999995,-0.55,-0.4078622114112611,0.0,0.37445877373399145,1
figs2,4.05,-0.55,-0.4059105862692052,0.0,0.386706792145335,1
figs2,4.137499999999999,-0.55,-0.40435573772225547,0.0,0.3988601919096974,1
figs2,4.225,-0.55,-0.40318715000361743,0.0,0.4109266032879936,1
figs2,4.3125,-0.55,-0.402367184213085,0.0,0.4229160646434305,1
figs2,4.3999999999999995,-0.55,-0.40184875105453854,0.0,0.43483992825312573,1
figs2,4.4875,-0.55,-0.4015953946133482,0.0,0.44670959604302063,1
figs2,4.574999999999999,-0.55,-0.40159700256898145,0.0,0.45853555828594666,1
figs2,4.6625,-0.55,-0.40187129681469724,0.0,0.4703272809782562,1
figs2,4.75,-0.55,-0.40244870430492896,0.0,0.4820940367285767,1
figs2,4.8374999999999995,-0.55,-0.40335328961372263,0.0,0.4938460048536057,1
figs2,4.925,-0.55,-0.4045956851171484,0.0,0.5055948338697014,1
figs2,5.012499999999999,-0.55,-0.40618343316039546,0.0,0.5173534055232104,1
figs2,5.1,-0.55,-0.4081403743114473,0.0,0.5291352314644273,1
figs2,5.1875,-0.55,-0.4105181741667615,0.0,0.5409543635710441,1
figs2,5.2749999999999995,-0.55,-0.4133891217201361,0.0,0.5528264094454297,1
figs2,5.3625,-0.55,-0.41682432897461397,0.0,0.5647704532706023,1
figs2,5.449999999999999,-0.55,-0.42086783312500714,0.0,0.5768112870049332,1
figs2,5.5375,-0.55,-0.42551528472578193,0.0,0.5889813904886456,1
figs2,5.625,-0.55,-0.4307038541986865,0.0,0.601322218676256,1
figs2,5.7124999999999995,-0.55,-0.43631372048762923,0.0,0.6138847547130108,1
figs2,5.8,-0.55,-0.4421716076363905,0.0,0.6267298286904702,1
figs2,5.887499999999999,-0.55,-0.44804007641688626,0.0,0.6399289537986723,1
figs2,5.975,-0.55,-0.4535753295381152,0.0,0.6535662646044058,1
figs2,6.0625,-0.55,-0.4582606357719573,0.0,0.667741282556501,1
figs2,6.1499999999999995,-0.55,-0.4617199970754365,0.0,0.6825706881195224,1
figs2,6.2375,-0.55,-0.4678623418048542,0.0,0.6981856976212396,1
figs2,6.324999999999999,-0.55,-0.49397958349361737,0.0,0.7147206380370337,1
figs2,6.4125,-0.55,-0.5294476578466498,0.0,0.732288852584577,1
figs2,6.5,-0.55,-0.5587842121597352,0.0,0.7509462242002057,1
figs2,-0.5,-0.5316666666666667,-2.3648260702951323,2.332373203237222e-06,-0.5468700969115112,-1
figs2,-0.4125,-0.5316666666666667,-1.7567466562876568,1.4146558576555402e-06,-0.5157624566687102,-1
figs2,-0.325,-0.5316666666666667,-1.2853935296954242,3.1565238807359507e-07,-0.47911174514454963,-1
figs2,-0.23750000000000004,-0.5316666666666667,-1.0724720308182392,2.591032584065142e-08,-0.44563949041657924,-1
figs2,-0.15000000000000002,-0.5316666666666667,-0.9451857101854932,7.824240440073579e-10,-0.41578477634268624,-1
figs2,-0.0625,-0.5316666666666667,-0.8523095235337188,0.0,-0.38901875308808775,-1
figs2,0.02499999999999991,-0.5316666666666667,-0.783093191972746,0.0,-0.36480431313555345,-1
figs2,0.11249999999999993,-0.5316666666666667,-0.730465207779885,0.0,-0.34273541698177207,-1
figs2,0.19999999999999996,-0.5316666666666667,-0.689593470753042,0.0,-0.3225444317617895,-1
figs2,0.2875,-0.5316666666666667,-0.6579304494300462,0.0,-0.30409118639142413,-1
figs2,0.375,-0.5316666666666667,-0.6348696445708054,0.0,-0.2873582773578692,-1
figs2,0.4624999999999999,-0.5316666666666667,-0.6215575054881944,0.0,-0.27246004062275175,-1
figs2,0.5499999999999998,-0.5316666666666667,-0.6183679377284259,6.868793482166533e-09,-0.2596730153992656,-1
figs2,0.6375,-0.5316666666666667,-0.6194478207703522,2.2746320057286473e-07,-0.24950587076446681,-1
figs2,0.7249999999999999,-0.5316666666666667,-0.632657119394418,2.7710690672612078e-06,-0.24282846266842845,-1
figs2,0.8125,-0.5316666666666667,-0.6914673334802427,1.2419069951896447e-05,-0.24048660120359652,-1
figs2,0.8999999999999999,-0.5316666666666667,-0.7283140681994179,2.0475584792004493e-05,-0.22779610941856882,-1
figs2,0.9874999999999998,-0.5316666666666667,-0.6499441564271856,1.2419069951896447e-05,-0.19408639024572474,-1
figs2,1.075,-0.5316666666666667,-0.5632755042870407,2.7710690672612078e-06,-0.16282438860474618,-1
figs2,1.1624999999999999,-0.5316666666666667,-0.5142886740692011,2.2746320057286473e-07,-0.1350119609302455,-1
figs2,1.25,-0.5316666666666667,-0.47603412498771747,6.868793482166533e-09,-0.10978891341196935,-1
figs2,1.3375,-0.5316666666666667,-0.44681298599794456,0.0,-0.08651674504034404,-1
figs2,1.4249999999999998,-0.5316666666666667,-0.42580774055443277,0.0,-0.06475135939267196,-1
figs2,1.5124999999999997,-0.5316666666666667,-0.4100833172074223,0.0,-0.044175544330049464,-1
figs2,1.5999999999999996,-0.5316666666666667,-0.397599211380648,0.0,-0.02455741187885112,-1
figs2,1.6875,-0.5316666666666667,-0.38717798143226706,0.0,-0.005725358051604412,-1
figs2,1.775,-0.5316666666666667,-0.3781454329293144,0.0,0.012448587979341074,1
figs2,1.8624999999999998,-0.5316666666666667,-0.37010985427706844,0.0,0.0300612261873268,1
figs2,1.9499999999999997,-0.5316666666666667,-0.36283101642624693,0.0,0.047187913985996414,1
figs2,2.0374999999999996,-0.5316666666666667,-0.3561414348087793,0.0,0.06388974029056302,1
figs2,2.125,-0.5316666666666667,-0.34990496687201994,0.0,0.08021802370504574,1
figs2,2.2125,-0.5316666666666667,-0.344003792519495,0.0,0.09621632222356248,1
figs2,2.3,-0.5316666666666667,-0.3383431926922937,0.0,0.11192071775346281,1
